id,rectangle_code,species_id,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,data_source,last_updated,created_at
01fe8a1b-3a28-42d6-8b0f-f7b52f7d284b,25L8,plaice,0.98,0.98,0.98,1.00,1.00,1.00,0.65,0.65,0.65,0.58,0.58,0.58,DATRAS,2025-09-29 16:58:40.618+00,2025-09-29 16:58:43.066633+00
02447b9a-f17c-4203-a17d-b15b98285b01,25P1,bream,0.82,0.82,0.82,1.00,1.00,1.00,0.62,0.62,0.62,0.72,0.72,0.72,DATRAS,2025-09-29 16:58:40.616+00,2025-09-29 16:58:42.172322+00
028908ff-2e01-40b2-984b-f217dcafcefb,27P5,pollack,1.00,1.00,1.00,0.87,0.87,0.87,0.70,0.70,0.70,0.95,0.95,0.95,DATRAS,2025-09-29 16:58:40.618+00,2025-09-29 16:58:43.066633+00
02cf3bb6-adb4-41eb-b6dd-5668a737b861,25D7,anchovy,1.00,1.00,1.00,0.85,0.85,0.85,0.53,0.53,0.53,0.53,0.53,0.53,DATRAS,2025-09-29 16:58:40.617+00,2025-09-29 16:58:42.172322+00
02dd9ce2-9c57-43a5-86a5-150a2254decd,41F1,cod,0.67,0.67,0.67,0.59,0.59,0.59,1.00,1.00,1.00,0.46,0.46,0.46,DATRAS,2025-09-29 16:58:40.616+00,2025-09-29 16:58:42.172322+00
02e9b18f-350b-4d43-828b-a9b3b965aa3c,25M8,pollack,0.87,0.87,0.87,0.38,0.38,0.38,0.65,0.65,0.65,1.00,1.00,1.00,DATRAS,2025-09-29 16:58:40.616+00,2025-09-29 16:58:42.172322+00
02f64c01-7842-48aa-a890-5de5dcba6959,28R3,mackerel,0.06,0.06,0.06,0.91,0.91,0.91,1.00,1.00,1.00,0.09,0.09,0.09,DATRAS,2025-09-29 16:58:40.617+00,2025-09-29 16:58:43.066633+00
0321abf5-1f51-41ab-a20d-8f790cbe3906,27H4,herring,0.69,0.69,0.69,0.73,0.73,0.73,1.00,1.00,1.00,0.90,0.90,0.90,DATRAS,2025-09-29 16:58:40.617+00,2025-09-29 16:58:43.066633+00
037d74cd-e528-4e71-8a2f-e7a9f5d25f5c,30Q4,haddock,1.00,1.00,1.00,0.61,0.61,0.61,0.84,0.84,0.84,0.92,0.92,0.92,DATRAS,2025-09-29 16:58:40.617+00,2025-09-29 16:58:43.066633+00
038bda7e-86b8-4464-a110-330bf3f4e038,29T9,herring,0.62,0.62,0.62,1.00,1.00,1.00,0.99,0.99,0.99,0.65,0.65,0.65,DATRAS,2025-09-29 16:58:40.617+00,2025-09-29 16:58:43.066633+00
03b023dc-83f1-4a6c-84f3-0bc1a48b98d0,33D5,hake,0.40,0.40,0.40,0.84,0.84,0.84,0.41,0.41,0.41,1.00,1.00,1.00,DATRAS,2025-09-29 16:58:40.617+00,2025-09-29 16:58:43.066633+00
03be2495-48ab-4cc9-8acc-da77f7dca633,22D7,herring,0.86,0.86,0.86,0.60,0.60,0.60,1.00,1.00,1.00,0.55,0.55,0.55,DATRAS,2025-09-29 16:58:40.616+00,2025-09-29 16:58:42.172322+00
03ef4676-3113-4f94-812c-3a7a983418a1,41F2,sole,0.50,0.50,0.50,1.00,1.00,1.00,0.57,0.57,0.57,0.47,0.47,0.47,DATRAS,2025-09-29 16:58:40.618+00,2025-09-29 16:58:43.066633+00
042eee74-4d67-4b38-9757-bd37f0e0837c,23E1,whiting,1.00,1.00,1.00,0.08,0.08,0.08,0.25,0.25,0.25,1.00,1.00,1.00,DATRAS,2025-09-29 16:58:40.617+00,2025-09-29 16:58:43.066633+00
04367d45-ebd7-4831-98da-0da0573a2617,40F2,anchovy,1.00,1.00,1.00,0.40,0.40,0.40,0.74,0.74,0.74,0.95,0.95,0.95,DATRAS,2025-09-29 16:58:40.616+00,2025-09-29 16:58:42.172322+00
048760f2-be31-4d75-9860-89d6a32821a3,26C7,sardine,0.68,0.68,0.68,0.67,0.67,0.67,1.00,1.00,1.00,0.75,0.75,0.75,DATRAS,2025-09-29 16:58:40.615+00,2025-09-29 16:58:42.172322+00
048b989d-70c8-42a3-9af9-117c7e76080f,26R3,haddock,0.68,0.68,0.68,1.00,1.00,1.00,0.96,0.96,0.96,0.58,0.58,0.58,DATRAS,2025-09-29 16:58:40.616+00,2025-09-29 16:58:42.172322+00
049ab474-e28d-4ad8-b578-ed5dc665d5f9,28P5,sole,1.00,1.00,1.00,0.76,0.76,0.76,0.96,0.96,0.96,0.93,0.93,0.93,DATRAS,2025-09-29 16:58:40.618+00,2025-09-29 16:58:43.066633+00
049e58df-eb56-43b6-8757-17595b506361,31C6,haddock,0.93,0.93,0.93,0.76,0.76,0.76,1.00,1.00,1.00,0.52,0.52,0.52,DATRAS,2025-09-29 16:58:40.616+00,2025-09-29 16:58:42.172322+00
05906cff-b060-452e-a753-28f7dbc0c41f,26D6,sole,0.83,0.83,0.83,1.00,1.00,1.00,0.74,0.74,0.74,0.52,0.52,0.52,DATRAS,2025-09-29 16:58:40.615+00,2025-09-29 16:58:42.172322+00
0596ff08-e9b0-4efd-9fc6-3fa344ee8d02,25J7,mackerel,0.05,0.05,0.05,1.00,1.00,1.00,0.66,0.66,0.66,0.05,0.05,0.05,DATRAS,2025-09-29 16:58:40.618+00,2025-09-29 16:58:43.066633+00
059b0b39-a210-4939-a04f-dd24a1662989,27J8,sardine,0.45,0.45,0.45,0.93,0.93,0.93,1.00,1.00,1.00,0.61,0.61,0.61,DATRAS,2025-09-29 16:58:40.616+00,2025-09-29 16:58:42.172322+00
05ba497b-ab10-4107-a18a-1257ceaee585,36E1,sea-bass,0.48,0.48,0.48,0.89,0.89,0.89,1.00,1.00,1.00,0.32,0.32,0.32,DATRAS,2025-09-29 16:58:40.617+00,2025-09-29 16:58:43.066633+00
05c40d04-0d25-4bb7-8d19-c209e9ad783f,25E1,anchovy,1.00,1.00,1.00,0.79,0.79,0.79,0.95,0.95,0.95,0.87,0.87,0.87,DATRAS,2025-09-29 16:58:40.616+00,2025-09-29 16:58:42.172322+00
05caad22-2163-48bd-b0f7-f1a616e7bae3,26P2,sardine,0.80,0.80,0.80,1.00,1.00,1.00,0.78,0.78,0.78,0.70,0.70,0.70,DATRAS,2025-09-29 16:58:40.615+00,2025-09-29 16:58:42.172322+00
05d66dc1-b394-4291-a4d0-ed3c80779405,25E1,sardine,0.77,0.77,0.77,0.85,0.85,0.85,0.73,0.73,0.73,1.00,1.00,1.00,DATRAS,2025-09-29 16:58:40.616+00,2025-09-29 16:58:42.172322+00
05fc2a18-0699-4083-92c3-1caf113ab912,25L8,sardine,0.45,0.45,0.45,0.93,0.93,0.93,1.00,1.00,1.00,0.61,0.61,0.61,DATRAS,2025-09-29 16:58:40.618+00,2025-09-29 16:58:43.066633+00
067ea6bf-f112-4523-a336-64c361e99460,28T9,haddock,0.68,0.68,0.68,1.00,1.00,1.00,0.96,0.96,0.96,0.58,0.58,0.58,DATRAS,2025-09-29 16:58:40.617+00,2025-09-29 16:58:42.172322+00
068af8be-d9bd-4b29-b64d-0e9a6a5ee1f5,41F1,anchovy,1.00,1.00,1.00,0.40,0.40,0.40,0.74,0.74,0.74,0.95,0.95,0.95,DATRAS,2025-09-29 16:58:40.616+00,2025-09-29 16:58:42.172322+00
06a1bbae-e8da-4f6b-9cb5-f89d208f570c,24E1,cod,1.00,1.00,1.00,0.85,0.85,0.85,0.99,0.99,0.99,0.62,0.62,0.62,DATRAS,2025-09-29 16:58:40.617+00,2025-09-29 16:58:42.172322+00
06acd672-2523-4072-ac66-f5cb996ae057,22D7,sardine,1.00,1.00,1.00,0.68,0.68,0.68,0.75,0.75,0.75,0.84,0.84,0.84,DATRAS,2025-09-29 16:58:40.616+00,2025-09-29 16:58:42.172322+00
06b3a882-d4d3-4eca-9de6-b6a4377fe937,26R3,sardine,1.00,1.00,1.00,0.99,0.99,0.99,0.68,0.68,0.68,0.73,0.73,0.73,DATRAS,2025-09-29 16:58:40.616+00,2025-09-29 16:58:42.172322+00
06fba0bd-cb1b-4720-bf98-42bf66fbd228,25K8,anchovy,1.00,1.00,1.00,0.44,0.44,0.44,0.92,0.92,0.92,1.00,1.00,1.00,DATRAS,2025-09-29 16:58:40.616+00,2025-09-29 16:58:42.172322+00
07297e8a-6f2b-48c7-9ae9-b23614f8a6de,31E9,haddock,0.74,0.74,0.74,0.80,0.80,0.80,0.87,0.87,0.87,1.00,1.00,1.00,DATRAS,2025-09-29 16:58:40.616+00,2025-09-29 16:58:42.172322+00
072eff58-4734-4c35-a1c8-14378dfbc2a5,25M2,bream,1.00,1.00,1.00,0.77,0.77,0.77,0.62,0.62,0.62,0.32,0.32,0.32,DATRAS,2025-09-29 16:58:40.618+00,2025-09-29 16:58:43.066633+00
0758f078-4606-47fc-a862-e6429fe2007f,26C8,cod,0.49,0.49,0.49,0.65,0.65,0.65,1.00,1.00,1.00,0.45,0.45,0.45,DATRAS,2025-09-29 16:58:40.616+00,2025-09-29 16:58:42.172322+00
0759fd36-4a31-4f5d-a345-405da3860e17,25D9,cod,0.49,0.49,0.49,0.65,0.65,0.65,1.00,1.00,1.00,0.45,0.45,0.45,DATRAS,2025-09-29 16:58:40.617+00,2025-09-29 16:58:43.066633+00
078818ec-a7a6-436a-988f-3e8e5a9bc792,27R3,cod,0.49,0.49,0.49,0.97,0.97,0.97,0.71,0.71,0.71,1.00,1.00,1.00,DATRAS,2025-09-29 16:58:40.616+00,2025-09-29 16:58:42.172322+00
078e461b-976c-4c62-8626-05982c0375d3,31U9,herring,0.62,0.62,0.62,1.00,1.00,1.00,0.99,0.99,0.99,0.65,0.65,0.65,DATRAS,2025-09-29 16:58:40.617+00,2025-09-29 16:58:43.066633+00
07d98069-2026-46c5-8b63-295899ca00cd,27P5,sole,1.00,1.00,1.00,0.76,0.76,0.76,0.96,0.96,0.96,0.93,0.93,0.93,DATRAS,2025-09-29 16:58:40.618+00,2025-09-29 16:58:43.066633+00
084d74bd-702c-4327-84b9-5be5d4011028,27J8,mackerel,0.05,0.05,0.05,1.00,1.00,1.00,0.66,0.66,0.66,0.05,0.05,0.05,DATRAS,2025-09-29 16:58:40.616+00,2025-09-29 16:58:42.172322+00
085d7354-f9c2-44ce-aa66-271705cb14af,24N3,hake,0.82,0.82,0.82,0.93,0.93,0.93,0.71,0.71,0.71,1.00,1.00,1.00,DATRAS,2025-09-29 16:58:40.618+00,2025-09-29 16:58:43.066633+00
089991e2-4b6c-4bb7-a9d2-6ccc603e6fd1,30E9,pollack,1.00,1.00,1.00,0.86,0.86,0.86,0.56,0.56,0.56,0.59,0.59,0.59,DATRAS,2025-09-29 16:58:40.616+00,2025-09-29 16:58:42.172322+00
08f55a29-4fe2-4c8d-a2ad-652e53317a24,37E1,mackerel,0.11,0.11,0.11,0.81,0.81,0.81,1.00,1.00,1.00,0.09,0.09,0.09,DATRAS,2025-09-29 16:58:40.617+00,2025-09-29 16:58:43.066633+00
09118164-207a-4e69-b113-e20ca5c5395c,26E0,sole,0.81,0.81,0.81,0.66,0.66,0.66,1.00,1.00,1.00,0.75,0.75,0.75,DATRAS,2025-09-29 16:58:40.617+00,2025-09-29 16:58:42.172322+00
0942465e-04ca-4e5b-a33b-9496392d8f7d,31P1,bream,0.82,0.82,0.82,1.00,1.00,1.00,0.62,0.62,0.62,0.72,0.72,0.72,DATRAS,2025-09-29 16:58:40.616+00,2025-09-29 16:58:42.172322+00
0955b240-7b7d-4390-b61f-767fb8bbfc7c,33E2,bream,1.00,1.00,1.00,0.77,0.77,0.77,0.62,0.62,0.62,0.32,0.32,0.32,DATRAS,2025-09-29 16:58:40.618+00,2025-09-29 16:58:43.066633+00
095772e0-ba0e-46b9-94c9-410b05e506ad,25D8,turbot,0.60,0.60,0.60,1.00,1.00,1.00,0.75,0.75,0.75,0.39,0.39,0.39,DATRAS,2025-09-29 16:58:40.616+00,2025-09-29 16:58:42.172322+00
095b40d0-31ab-4043-bb3e-b50fe1277e85,26T9,haddock,0.68,0.68,0.68,1.00,1.00,1.00,0.96,0.96,0.96,0.58,0.58,0.58,DATRAS,2025-09-29 16:58:40.616+00,2025-09-29 16:58:42.172322+00
095f6681-f7f8-403d-966a-2cb69121b34f,25K7,sardine,0.45,0.45,0.45,0.93,0.93,0.93,1.00,1.00,1.00,0.61,0.61,0.61,DATRAS,2025-09-29 16:58:40.617+00,2025-09-29 16:58:42.172322+00
097d0a6b-908d-4e50-98c8-9bcf4d6415ea,33E2,pollack,1.00,1.00,1.00,0.87,0.87,0.87,0.70,0.70,0.70,0.95,0.95,0.95,DATRAS,2025-09-29 16:58:40.618+00,2025-09-29 16:58:43.066633+00
0982afff-f71a-454a-a8ac-1c990528b8cf,28T9,turbot,0.76,0.76,0.76,1.00,1.00,1.00,0.83,0.83,0.83,0.81,0.81,0.81,DATRAS,2025-09-29 16:58:40.617+00,2025-09-29 16:58:42.172322+00
09ac4dc1-b6d5-41bc-9462-898d1b9ea784,32P1,sole,0.50,0.50,0.50,1.00,1.00,1.00,0.57,0.57,0.57,0.47,0.47,0.47,DATRAS,2025-09-29 16:58:40.617+00,2025-09-29 16:58:42.172322+00
09c88a65-3072-49f1-a598-c601e9861d28,24N3,mackerel,0.11,0.11,0.11,0.81,0.81,0.81,1.00,1.00,1.00,0.09,0.09,0.09,DATRAS,2025-09-29 16:58:40.618+00,2025-09-29 16:58:43.066633+00
09d0ee7e-cd08-4593-84ec-d8ef067ba8b1,34E5,hake,0.40,0.40,0.40,0.84,0.84,0.84,0.41,0.41,0.41,1.00,1.00,1.00,DATRAS,2025-09-29 16:58:40.616+00,2025-09-29 16:58:42.172322+00
09f1ac4b-7af4-446f-baa5-20b2de211b10,31E9,mackerel,0.10,0.10,0.10,1.00,1.00,1.00,0.47,0.47,0.47,0.11,0.11,0.11,DATRAS,2025-09-29 16:58:40.616+00,2025-09-29 16:58:42.172322+00
09f46fc8-ce9b-443c-9427-f41b6c43edc8,24D7,sardine,0.72,0.72,0.72,0.86,0.86,0.86,1.00,1.00,1.00,0.97,0.97,0.97,DATRAS,2025-09-29 16:58:40.617+00,2025-09-29 16:58:42.172322+00
0a0129df-c0bb-4836-8c7c-a5e44a45ba10,27T9,whiting,0.37,0.37,0.37,0.12,0.12,0.12,0.18,0.18,0.18,1.00,1.00,1.00,DATRAS,2025-09-29 16:58:40.617+00,2025-09-29 16:58:42.172322+00
0a20e64c-7a47-44ff-8586-07d3491ed3f9,35E5,sardine,1.00,1.00,1.00,0.99,0.99,0.99,0.68,0.68,0.68,0.73,0.73,0.73,DATRAS,2025-09-29 16:58:40.616+00,2025-09-29 16:58:42.172322+00
0a44fd8c-4f59-44de-a433-0e0d54963d82,41F2,haddock,1.00,1.00,1.00,0.57,0.57,0.57,0.26,0.26,0.26,0.82,0.82,0.82,DATRAS,2025-09-29 16:58:40.618+00,2025-09-29 16:58:43.066633+00
0a4cef7f-0aee-4295-b981-dbc7f7d28c2a,26D6,turbot,0.82,0.82,0.82,0.59,0.59,0.59,1.00,1.00,1.00,0.70,0.70,0.70,DATRAS,2025-09-29 16:58:40.616+00,2025-09-29 16:58:42.172322+00
0a61dd69-5445-47d2-a254-298ca0852e5d,21D7,hake,0.49,0.49,0.49,0.81,0.81,0.81,0.87,0.87,0.87,1.00,1.00,1.00,DATRAS,2025-09-29 16:58:40.618+00,2025-09-29 16:58:43.066633+00
0a67d67a-db81-4e7d-b0e4-ab51e393e810,31E8,hake,0.62,0.62,0.62,0.45,0.45,0.45,1.00,1.00,1.00,0.51,0.51,0.51,DATRAS,2025-09-29 16:58:40.616+00,2025-09-29 16:58:42.172322+00
0a819815-9caa-49a2-9fc1-adbd7e48743e,29P1,sole,0.50,0.50,0.50,1.00,1.00,1.00,0.57,0.57,0.57,0.47,0.47,0.47,DATRAS,2025-09-29 16:58:40.617+00,2025-09-29 16:58:43.066633+00
0a895c57-1f3e-4953-a2a8-34c4e1a9e352,37E1,whiting,1.00,1.00,1.00,0.10,0.10,0.10,0.10,0.10,0.10,0.71,0.71,0.71,DATRAS,2025-09-29 16:58:40.617+00,2025-09-29 16:58:43.066633+00
0a95d485-c75e-4534-817c-d9fbb93b5e7a,27P5,sardine,0.75,0.75,0.75,0.94,0.94,0.94,0.88,0.88,0.88,1.00,1.00,1.00,DATRAS,2025-09-29 16:58:40.618+00,2025-09-29 16:58:43.066633+00
0acd0c5b-5db7-46aa-bee5-dcf1e2698d47,39F3,whiting,1.00,1.00,1.00,0.10,0.10,0.10,0.10,0.10,0.10,0.71,0.71,0.71,DATRAS,2025-09-29 16:58:40.617+00,2025-09-29 16:58:43.066633+00
0ad189bf-d0ec-490f-91f4-ca02573143c1,22D6,sea-bass,0.43,0.43,0.43,0.81,0.81,0.81,1.00,1.00,1.00,0.30,0.30,0.30,DATRAS,2025-09-29 16:58:40.617+00,2025-09-29 16:58:42.172322+00
0b2a9491-a6a7-49a7-8851-4e449133cf4f,29P1,anchovy,1.00,1.00,1.00,0.40,0.40,0.40,0.74,0.74,0.74,0.95,0.95,0.95,DATRAS,2025-09-29 16:58:40.617+00,2025-09-29 16:58:43.066633+00
0b343d59-1c3c-4abd-abee-ac1068dfa4a4,26C7,mackerel,0.09,0.09,0.09,0.96,0.96,0.96,1.00,1.00,1.00,0.14,0.14,0.14,DATRAS,2025-09-29 16:58:40.615+00,2025-09-29 16:58:42.172322+00
0b412434-448c-4509-9aee-b4e2873f503f,26T9,pollack,0.32,0.32,0.32,1.00,1.00,1.00,0.53,0.53,0.53,0.79,0.79,0.79,DATRAS,2025-09-29 16:58:40.616+00,2025-09-29 16:58:42.172322+00
0b6ba741-fd13-4bde-ab49-3f14b7b2ed04,27P5,cod,0.80,0.80,0.80,0.48,0.48,0.48,0.93,0.93,0.93,1.00,1.00,1.00,DATRAS,2025-09-29 16:58:40.618+00,2025-09-29 16:58:43.066633+00
0b8451e1-f650-42a6-9ea1-58b23315bf27,27D7,sea-bass,0.43,0.43,0.43,0.81,0.81,0.81,1.00,1.00,1.00,0.30,0.30,0.30,DATRAS,2025-09-29 16:58:40.616+00,2025-09-29 16:58:42.172322+00
0bbd357f-a3c6-4f08-8776-d22ee98bd648,34E1,sardine,0.80,0.80,0.80,1.00,1.00,1.00,0.78,0.78,0.78,0.70,0.70,0.70,DATRAS,2025-09-29 16:58:40.616+00,2025-09-29 16:58:42.172322+00
0bce1128-dca2-4427-9739-24c0c109b276,33E3,plaice,1.00,1.00,1.00,0.83,0.83,0.83,0.54,0.54,0.54,0.68,0.68,0.68,DATRAS,2025-09-29 16:58:40.618+00,2025-09-29 16:58:43.066633+00
0c35c9cc-6adb-4ab4-a619-79cb31e98f30,35E5,cod,0.49,0.49,0.49,0.97,0.97,0.97,0.71,0.71,0.71,1.00,1.00,1.00,DATRAS,2025-09-29 16:58:40.616+00,2025-09-29 16:58:42.172322+00
0c9cf575-acc6-4de8-811e-f8b41b4b9f5d,33E1,sea-bass,0.33,0.33,0.33,0.53,0.53,0.53,1.00,1.00,1.00,0.17,0.17,0.17,DATRAS,2025-09-29 16:58:40.617+00,2025-09-29 16:58:43.066633+00
0ca768ef-6de3-4a8b-8cac-66cc838a9ac3,30P1,haddock,1.00,1.00,1.00,0.57,0.57,0.57,0.26,0.26,0.26,0.82,0.82,0.82,DATRAS,2025-09-29 16:58:40.618+00,2025-09-29 16:58:43.066633+00
0ccf96ac-ec0d-4c40-9a52-aa5d7f270f39,35E5,turbot,0.76,0.76,0.76,1.00,1.00,1.00,0.83,0.83,0.83,0.81,0.81,0.81,DATRAS,2025-09-29 16:58:40.616+00,2025-09-29 16:58:42.172322+00
0cfcbe93-7dab-43f6-a994-4765945db211,23E1,haddock,0.59,0.59,0.59,0.53,0.53,0.53,1.00,1.00,1.00,0.74,0.74,0.74,DATRAS,2025-09-29 16:58:40.617+00,2025-09-29 16:58:43.066633+00
0d352e49-c474-4f1b-a69e-8b96b0d73da6,25E1,sea-bass,0.38,0.38,0.38,0.99,0.99,0.99,1.00,1.00,1.00,0.27,0.27,0.27,DATRAS,2025-09-29 16:58:40.616+00,2025-09-29 16:58:42.172322+00
0da11fa2-6851-4d32-913d-e8e56f0a9367,27M2,whiting,1.00,1.00,1.00,0.10,0.10,0.10,0.10,0.10,0.10,0.71,0.71,0.71,DATRAS,2025-09-29 16:58:40.616+00,2025-09-29 16:58:42.172322+00
0daa7c92-6312-4658-ae8e-86fc9686cdd0,28P1,turbot,0.70,0.70,0.70,1.00,1.00,1.00,0.59,0.59,0.59,0.91,0.91,0.91,DATRAS,2025-09-29 16:58:40.617+00,2025-09-29 16:58:43.066633+00
0dec590a-cc66-4680-935e-ffb1989b0fb2,25M2,sole,1.00,1.00,1.00,0.76,0.76,0.76,0.96,0.96,0.96,0.93,0.93,0.93,DATRAS,2025-09-29 16:58:40.618+00,2025-09-29 16:58:43.066633+00
0df23c39-996e-4295-8d02-edcf00894422,25P1,plaice,0.69,0.69,0.69,0.49,0.49,0.49,1.00,1.00,1.00,0.47,0.47,0.47,DATRAS,2025-09-29 16:58:40.616+00,2025-09-29 16:58:42.172322+00
0e35966d-0818-478b-930d-d087d0be1ed1,34E5,sardine,1.00,1.00,1.00,0.99,0.99,0.99,0.68,0.68,0.68,0.73,0.73,0.73,DATRAS,2025-09-29 16:58:40.616+00,2025-09-29 16:58:42.172322+00
0e365e8e-cf32-4425-b1dd-ccfea295fddd,25D9,herring,0.77,0.77,0.77,1.00,1.00,1.00,0.82,0.82,0.82,0.88,0.88,0.88,DATRAS,2025-09-29 16:58:40.617+00,2025-09-29 16:58:43.066633+00
