rectangle_code,center_lat,center_lon,distance_to_shore_km,is_coastal,sample_wkt
31E3,51.500000,-3.000000,3.55,true,POINT(-3.0156958 51.531643)
24N3,57.250000,9.500000,3.83,true,POINT(9.522940155955235 57.2122951149673)
41P1,66.250000,12.500000,4.03,true,POINT(12.51493740717923 66.19599546000916)
38E1,58.500000,-3.000000,4.15,true,POINT(-3.05663 58.4774844)
37H4,36.500000,-5.000000,4.20,true,POINT(-4.980256094427458 36.46492395154194)
27H3,50.500000,-2.500000,4.21,true,POINT(-2.4595434 50.5276553)
25K8,52.000000,1.500000,4.39,true,POINT(1.4638778 52.0351423)
22M5,55.250000,12.500000,4.58,true,POINT(12.4650171 55.2902693)
34E3,55.500000,-5.000000,4.59,true,POINT(-5.0707902 55.5093448)
37S2,39.500000,23.000000,4.62,true,POINT(23.012934694434787 39.54085662730053)
33E1,56.000000,-3.000000,4.64,true,POINT(-2.989342198548999 55.95704575148759)
37M2,38.000000,14.500000,4.65,true,POINT(14.49369887267112 38.04165128978778)
22M4,55.250000,11.500000,4.66,true,POINT(11.5060327 55.2083194)
26O6,54.500000,-0.500000,4.66,true,POINT(-0.5346574 54.461005)
38F4,58.500000,-5.000000,4.67,true,POINT(-5.0279842 58.5440941)
37S5,37.500000,25.500000,4.67,true,POINT(25.4629012 37.4700382)
37Q0,39.500000,20.000000,4.71,true,POINT(19.9894312 39.4584008)
34E1,56.500000,-3.000000,4.77,true,POINT(-2.996507319917101 56.45693094453956)
35E5,54.000000,-6.000000,4.81,true,POINT(-6.019596609761547 54.04366426476098)
37S4,37.500000,25.000000,4.86,true,POINT(24.951898096526552 37.4774563698687)
37H0,39.000000,1.500000,5.05,true,POINT(1.540119856134054 38.966479854651155)
25M7,53.000000,0.500000,5.08,true,POINT(0.5202743 52.9552676)
26C7,52.000000,-10.000000,5.11,true,POINT(-10.017131601760996 52.04697067600409)
38V5,38.500000,26.500000,5.24,true,POINT(26.4742945 38.4573428)
26P5,55.000000,-1.500000,5.31,true,POINT(-1.4383032 55.0423038)
27P5,55.500000,-1.500000,5.63,true,POINT(-1.5849503 55.48371)
23M5,55.750000,12.500000,5.79,true,POINT(12.588883359067024 55.734823590337164)
29Q4,54.500000,-3.500000,5.94,true,POINT(-3.54525911542441 54.44485013032005)
27D7,40.750000,-8.500000,6.17,true,POINT(-8.5726619 40.7555606)
36H0,39.500000,8.500000,6.23,true,POINT(8.438003774366289 39.53065506469867)
32F1,51.250000,1.500000,6.44,true,POINT(1.411198353618696 51.230306756874214)
38H1,40.000000,4.000000,6.48,true,POINT(3.99542733814698 40.05826422125246)
37N0,36.000000,14.500000,6.56,true,POINT(14.463482925056294 35.94754244645174)
23N5,56.250000,15.500000,6.63,true,POINT(15.518984783384266 56.18380994986605)
40Y3,43.500000,28.500000,6.64,true,POINT(28.5350041 43.4386254)
37U6,36.500000,28.000000,6.68,true,POINT(27.990896 36.5597598)
30N5,59.750000,19.500000,6.86,true,POINT(19.4085393 59.709296)
37L8,45.000000,15.000000,7.07,true,POINT(14.91700446813835 44.97313101418154)
30E9,49.750000,0.500000,7.07,true,POINT(0.475001818427869 49.814400675129185)
38W5,39.000000,27.000000,7.41,true,POINT(26.962774421110492 38.939866462786384)
37M1,38.000000,13.500000,7.43,true,POINT(13.5473739 38.0562198)
23M4,55.750000,11.500000,7.70,true,POINT(11.4775497 55.8415388)
37K5,42.000000,8.500000,7.94,true,POINT(8.5862736 41.9689802)
37U8,35.000000,32.500000,7.97,true,POINT(32.4513196575243 35.059927024386624)
24O3,57.750000,11.500000,8.01,true,POINT(11.6115015 57.6996931)
27I8,51.000000,2.500000,8.02,true,POINT(2.47864356908117 51.07249554006582)
27G0,50.000000,-5.500000,8.04,true,POINT(-5.5455623 50.0689151)
22L5,54.250000,15.500000,8.36,true,POINT(15.512047979990394 54.17404605836261)
25Q5,59.750000,21.500000,8.49,true,POINT(21.5680445 59.8185896)
37R2,40.000000,22.500000,8.56,true,POINT(22.5712997 40.0542667)
39Y3,43.000000,28.000000,8.86,true,POINT(27.899066220290933 42.966954210299924)
36F5,57.500000,-7.000000,8.97,true,POINT(-7.1339005 57.5383975)
26D6,40.250000,-9.000000,9.16,true,POINT(-8.905460619487371 40.20725135430633)
40X5,41.500000,28.500000,9.17,true,POINT(28.473699906566974 41.418575187169935)
26R2,51.500000,-3.500000,9.46,true,POINT(-3.505912763684443 51.396602955021564)
30U8,54.000000,-4.500000,9.71,true,POINT(-4.5497941 54.1006534)
31C6,52.000000,-8.000000,10.47,false,POINT(-7.9222306 51.9118106)
37J0,40.500000,8.500000,10.76,false,POINT(8.385729398184651 40.454150390185326)
28F4,48.000000,-4.000000,10.77,false,POINT(-3.9882706 47.9034691)
30P1,60.750000,4.500000,10.86,false,POINT(4.6855575 60.786892)
27C7,51.500000,-10.000000,10.92,false,POINT(-10.028798 51.596503)
37I2,39.000000,0.000000,11.23,false,POINT(-0.0685929 38.9133975)
31P1,61.250000,4.500000,11.42,false,POINT(4.6886499 61.2987328)
25Q6,59.750000,22.500000,11.74,false,POINT(22.469435876771016 59.858704542864075)
38F5,58.500000,-6.000000,12.01,false,POINT(-6.1699926 58.4299991)
37I1,39.500000,3.500000,12.99,false,POINT(3.4060165 39.5919864)
27J8,51.500000,1.500000,13.12,false,POINT(1.4482528 51.38288)
25J8,51.500000,1.500000,13.12,false,POINT(1.4482528 51.38288)
25C8,52.500000,-9.000000,13.29,false,POINT(-9.014607936904607 52.619737293871204)
41F1,60.000000,-2.000000,13.61,false,POINT(-2.0629777 60.1179874)
22D7,43.500000,-8.000000,13.62,false,POINT(-8.0518693 43.6428083)
37U5,36.500000,27.000000,13.95,false,POINT(27.1297307 36.5695255)
25M8,53.000000,1.500000,13.96,false,POINT(1.439909447976043 52.87097772951312)
25D8,53.000000,-9.000000,14.06,false,POINT(-9.0728654 53.1184757)
31C7,52.000000,-7.000000,14.63,false,POINT(-7.019680844002566 52.13801953033785)
26E0,43.250000,-4.500000,14.92,false,POINT(-4.4816788 43.3836124)
32E5,52.500000,-6.000000,15.08,false,POINT(-6.2090958 52.5458438)
27I7,51.000000,1.500000,15.15,false,POINT(1.580577 50.8688012)
37U9,35.000000,33.500000,15.34,false,POINT(33.6466577 34.9319522)
40X8,41.500000,31.500000,15.38,false,POINT(31.540153040736403 41.36309444515914)
40F2,59.500000,-3.000000,15.62,false,POINT(-2.9651993 59.3609073)
27H4,50.500000,-1.500000,15.66,false,POINT(-1.435219558835651 50.64328609677148)
26S2,51.500000,-4.500000,15.78,false,POINT(-4.2951554 51.5619571)
26R1,51.500000,-4.500000,15.78,false,POINT(-4.2951554 51.5619571)
28M1,57.250000,8.500000,15.85,false,POINT(8.5862736 57.1063907)
37R0,39.000000,20.500000,15.95,false,POINT(20.5958765 39.1238467)
22L6,54.250000,16.500000,15.97,false,POINT(16.3367619 54.358588)
38K5,42.500000,9.000000,16.00,false,POINT(8.977311873549928 42.64365583718723)
40P1,65.750000,11.500000,16.00,false,POINT(11.7651473 65.6349958)
32P1,61.750000,4.500000,16.13,false,POINT(4.7929794 61.7911238)
26O3,58.750000,11.500000,16.48,false,POINT(11.4375106 58.9914005)
30D5,55.500000,-6.000000,16.87,false,POINT(-6.0582576 55.6601423)
27H1,50.500000,-4.500000,16.90,false,POINT(-4.437655518792517 50.34569768033446)
31U9,54.500000,-5.000000,17.02,false,POINT(-4.9440812 54.6527774)
27I6,51.000000,0.500000,17.20,false,POINT(0.52104896280039 50.844727161712854)
25L8,52.500000,1.500000,17.20,false,POINT(1.7292587 52.4155948)
33E2,55.000000,-4.000000,17.27,false,POINT(-4.0640356 54.831529)
26T0,52.000000,-5.500000,17.37,false,POINT(-5.3498022 51.8741316)
27O2,59.250000,11.500000,17.82,false,POINT(11.3704533 59.1006534)
22M3,55.250000,10.500000,17.84,false,POINT(10.4715275 55.4430606)
35F5,57.000000,-7.000000,18.23,false,POINT(-7.2158911 57.113837)
35F6,57.000000,-7.000000,18.23,false,POINT(-7.2158911 57.113837)
27D8,54.000000,-9.000000,18.47,false,POINT(-9.1349992 54.1456973)
25O6,54.000000,-0.500000,18.57,false,POINT(-0.3627824 54.2424991)
26P2,58.750000,6.500000,18.61,false,POINT(6.456010611304491 59.02563587286097)
27R3,53.500000,-3.500000,18.65,false,POINT(-3.448965029627336 53.32806933690055)
37R4,40.000000,24.500000,18.88,false,POINT(24.3938094 40.1524926)
36E1,57.500000,-3.000000,18.89,false,POINT(-3.029036850781246 57.66960991526634)
37V7,37.000000,30.500000,19.34,false,POINT(30.61854275718556 36.85154086462126)
37L9,45.500000,14.500000,19.50,false,POINT(14.437479209500314 45.3259890287465)
24E1,43.750000,-6.500000,19.56,false,POINT(-6.4691056 43.5753848)
37I3,39.000000,1.000000,19.60,false,POINT(1.2184351 38.9540876)
37F6,58.000000,-6.000000,19.79,false,POINT(-5.802559063921886 57.85027355244739)
26Q6,60.250000,23.500000,19.79,false,POINT(23.531631876207314 60.07134886207217)
25D9,53.000000,-10.000000,19.86,false,POINT(-9.8114314 53.1376)
25N7,53.500000,-0.500000,19.87,false,POINT(-0.5299373 53.6776798)
40F1,59.500000,-2.000000,20.01,false,POINT(-1.6512752 59.5289574)
22L8,54.250000,18.500000,20.40,false,POINT(18.588064 54.4336612)
26T9,52.000000,-6.500000,20.57,false,POINT(-6.566577054072613 52.18299827155935)
28R3,54.000000,-3.500000,21.06,false,POINT(-3.3285213 54.2047387)
37L7,44.500000,15.500000,21.21,false,POINT(15.408717039858377 44.3192601875948)
25E1,43.750000,-5.500000,21.22,false,POINT(-5.4941336416545 43.55899615648881)
27P1,59.250000,4.500000,21.26,false,POINT(4.8579208 59.3034936)
37T4,36.000000,23.500000,21.33,false,POINT(23.3307398 35.8649356)
28D9,54.500000,-10.000000,21.59,false,POINT(-9.9977921 54.3039411)
30D6,55.500000,-7.000000,21.73,false,POINT(-7.0419002 55.2688663)
37J2,41.500000,2.000000,21.80,false,POINT(2.088428956105775 41.28623426731231)
22D8,43.500000,-9.000000,21.88,false,POINT(-8.90681065174534 43.31145402677016)
27I5,51.000000,-0.500000,22.02,false,POINT(-0.5 50.8020694)
27F1,46.500000,-1.000000,22.05,false,POINT(-1.1324764 46.3241234)
28D8,54.500000,-9.000000,22.29,false,POINT(-9.0174861 54.2918969)
28N5,58.750000,18.500000,22.38,false,POINT(18.3164169 58.9269473)
38R4,40.500000,25.000000,22.41,false,POINT(24.7801213 40.6122094)
32C6,52.500000,-7.000000,23.46,false,POINT(-6.9973852 52.2892113)
37J3,41.500000,3.000000,24.25,false,POINT(2.9329909 41.7124644)
33D5,52.250000,-5.000000,24.39,false,POINT(-5.0266007 52.0274112)
29P1,60.250000,4.500000,24.43,false,POINT(4.9358016 60.2855492)
26D8,53.500000,-9.000000,25.03,false,POINT(-9.019335938328458 53.27522169691364)
37H5,36.500000,-4.000000,25.41,false,POINT(-3.9609611 36.7267928)
37V8,37.000000,31.500000,25.50,false,POINT(31.3763127 36.7919376)
21C6,37.500000,-8.500000,26.27,false,POINT(-8.796532302945426 37.51532222557749)
41Y3,44.000000,29.000000,26.33,false,POINT(28.6717229 43.9973819)
27G2,50.000000,-3.500000,27.14,false,POINT(-3.6456193 50.2260196)
35G6,57.000000,-8.000000,27.30,false,POINT(-7.5562231 56.9626326)
30U9,54.000000,-5.500000,27.52,false,POINT(-5.6399633 54.2350528)
26S1,51.500000,-5.500000,28.79,false,POINT(-5.3102921 51.7314314)
26R0,51.500000,-5.500000,28.79,false,POINT(-5.3102921 51.7314314)
36G6,57.500000,-8.000000,29.16,false,POINT(-7.5448299 57.592963)
25E0,43.250000,-5.500000,29.34,false,POINT(-5.4139298 43.5065372)
22L4,54.250000,14.500000,29.40,false,POINT(14.570984172169295 53.97930243660353)
29F3,48.000000,-3.000000,29.41,false,POINT(-3.1391495 47.7525902)
38V6,38.500000,27.500000,29.75,false,POINT(27.1642359 38.4534366)
30D7,55.500000,-8.000000,30.00,false,POINT(-7.976796 55.2219099)
42L2,39.500000,10.000000,30.60,false,POINT(9.6530054 39.5668399)
25L7,52.500000,0.500000,30.87,false,POINT(0.3845321 52.768378)
39P1,65.250000,10.500000,31.54,false,POINT(10.7347111 64.9672305)
25P1,58.250000,5.500000,31.80,false,POINT(5.6462508 58.5486514)
37S3,39.500000,23.500000,31.88,false,POINT(23.4704696 39.2138126)
27H6,50.500000,0.500000,31.94,false,POINT(0.3422958 50.7951521)
37L6,44.000000,16.000000,31.99,false,POINT(15.9389755 43.6964379)
32E4,52.000000,-4.000000,32.36,false,POINT(-4.0754288 51.6778018)
40X6,41.500000,29.500000,32.44,false,POINT(29.44832567602448 41.20919761567609)
27H5,50.500000,-0.500000,32.59,false,POINT(-0.5 50.8020694)
27G4,50.000000,-1.500000,32.73,false,POINT(-1.440339816386819 49.705329551397554)
26R3,53.000000,-3.500000,32.87,false,POINT(-3.5623266 53.2944197)
24E0,43.250000,-6.500000,33.06,false,POINT(-6.5101212 43.5474714)
29T9,53.500000,-5.500000,33.15,false,POINT(-5.9990942 53.4887149)
27G1,50.000000,-4.500000,33.36,false,POINT(-4.512326907796822 50.327798206793716)
37E1,58.000000,-3.000000,33.47,false,POINT(-2.932688 57.6996117)
28T9,53.000000,-5.500000,33.49,false,POINT(-5.9935197 52.9574242)
25K7,52.000000,0.500000,33.86,false,POINT(0.6985783 51.7200382)
29D8,55.000000,-9.000000,34.13,false,POINT(-8.7955216 54.6984317)
20C5,37.500000,-7.500000,34.93,false,POINT(-7.4144181 37.1928165)
42Y3,44.500000,29.500000,35.06,false,POINT(29.46487184077264 44.8153641669978)
40X7,41.500000,30.500000,35.93,false,POINT(30.43980740160763 41.168654259517275)
27G3,50.000000,-2.500000,37.27,false,POINT(-2.2184952 49.7186954)
37T6,36.000000,25.500000,37.63,false,POINT(25.4466252 36.3363305)
23L4,54.750000,14.500000,38.06,false,POINT(14.6995549 55.0891788)
23L5,54.750000,15.500000,38.39,false,POINT(15.1132422 55.0182949)
37G6,58.000000,-8.000000,38.45,false,POINT(-8.5522355 57.8189151)
26E1,43.750000,-4.500000,38.52,false,POINT(-4.522364305276406 43.40338487557029)
39K1,43.500000,8.000000,38.86,false,POINT(7.938023316177602 43.84899637011029)
28P5,56.000000,-1.500000,38.94,false,POINT(-1.663865846856714 55.59858814210028)
26M2,56.250000,7.500000,39.19,false,POINT(8.1064559 56.1194522)
23E0,43.250000,-7.500000,39.23,false,POINT(-7.2710669 43.5611433)
41K1,38.750000,9.500000,39.39,false,POINT(9.5185653 39.1045596)
37O2,42.000000,20.000000,39.41,false,POINT(19.5916447 41.818793)
36P1,63.750000,7.500000,39.54,false,POINT(7.7781682 63.4113223)
36I0,40.000000,9.000000,41.04,false,POINT(8.5535588 39.8639591)
26C8,52.000000,-9.000000,41.29,false,POINT(-8.8538712 51.5959333)
39F4,59.000000,-5.000000,41.41,false,POINT(-4.9881893 58.6283227)
25M2,55.750000,7.500000,42.24,false,POINT(8.0940048 55.5639102)
27M2,56.750000,7.500000,42.36,false,POINT(8.1266382 56.5684268)
34P1,62.750000,5.500000,42.40,false,POINT(5.5236109 62.3696964)
28O2,59.750000,11.500000,42.88,false,POINT(11.1764429 59.1968448)
31E9,50.250000,0.500000,43.46,false,POINT(0.5966903 49.8572452)
37M5,43.500000,17.500000,43.62,false,POINT(17.3162541 43.1272647)
30E8,49.750000,-0.500000,43.63,false,POINT(-0.5469458 49.3589542)
37P1,64.250000,8.500000,43.93,false,POINT(8.4709579 63.8561466)
33P1,62.250000,4.500000,44.49,false,POINT(4.8032333 61.8416202)
35E1,57.000000,-3.000000,44.61,false,POINT(-2.956224790842305 56.460197651586746)
39F3,59.000000,-4.000000,45.13,false,POINT(-4.0290421 58.5951602)
24N5,56.750000,15.500000,46.86,false,POINT(15.5864364 56.2088891)
39W5,39.500000,27.500000,47.92,false,POINT(26.945079 39.5396182)
27R2,52.000000,-3.500000,48.25,false,POINT(-3.8326717 51.615546)
37R1,40.000000,22.000000,49.09,false,POINT(22.5496525 40.1438663)
26N5,57.750000,17.500000,50.19,false,POINT(17.1040145 57.3527693)
37N6,44.000000,16.500000,50.31,false,POINT(16.4338485 43.5497501)
24M2,55.250000,7.500000,50.31,false,POINT(8.0952255 55.5490583)
27N5,58.250000,17.500000,50.35,false,POINT(17.4626571 58.7015648)
35P1,63.250000,6.500000,51.42,false,POINT(6.4749455 62.7888451)
37V6,37.000000,29.500000,51.74,false,POINT(29.1092229 36.6520043)
28P1,59.750000,4.500000,52.64,false,POINT(4.8570256 59.3106957)
22L7,54.250000,17.500000,53.77,false,POINT(17.444074649631556 54.76068995325448)
43F1,61.000000,-2.000000,53.91,false,POINT(-1.5951229 60.5067813)
21D7,42.500000,-8.000000,53.98,false,POINT(-8.6227107 42.3474796)
37T5,36.000000,24.500000,54.18,false,POINT(24.1829533 35.585598)
37O3,42.500000,19.500000,54.60,false,POINT(19.0838322 42.1100935)
24D7,41.000000,-8.000000,55.12,false,POINT(-8.5726619 40.7555606)
40F3,59.500000,-4.000000,56.62,false,POINT(-3.3502091 59.0979678)
31E8,50.250000,-0.500000,57.23,false,POINT(-0.5 50.8020694)
24Q5,59.250000,21.500000,58.83,false,POINT(21.3813583 59.775865)
27T9,52.500000,-5.500000,59.39,false,POINT(-5.2889298 51.9169376)
37N4,43.000000,19.000000,62.89,false,POINT(18.6873479 42.4828962)
33F2,51.750000,2.500000,62.94,false,POINT(2.7156682 51.169501)
25D7,41.500000,-8.000000,63.05,false,POINT(-8.6961564 41.7219913)
38P1,64.750000,9.500000,63.96,false,POINT(9.3836369 64.1784936)
27Q6,60.750000,24.500000,64.57,false,POINT(24.5540471 60.1559512)
37M6,44.000000,17.000000,66.42,false,POINT(16.8806258 43.4059512)
37J7,36.750000,0.000000,67.68,false,POINT(0.3422958 36.2059594)
40K0,38.250000,8.500000,69.29,false,POINT(8.6409611 38.8643253)
41F2,60.000000,-3.000000,71.23,false,POINT(-2.9651993 59.3609073)
37P2,41.500000,20.500000,74.92,false,POINT(19.6129663 41.6052921)
29D9,55.000000,-10.000000,74.97,false,POINT(-9.8439835 54.3287621)
26S0,51.500000,-6.500000,75.62,false,POINT(-6.579742 52.1782087)
37M7,44.500000,16.500000,81.45,false,POINT(16.4338485 43.5497501)
38J8,37.250000,1.000000,83.56,false,POINT(1.1787216 36.510891)
37M8,45.000000,16.000000,85.18,false,POINT(15.5286564 44.271796)
28Q6,61.250000,25.500000,88.16,false,POINT(25.9172469 60.485419)
37Q1,40.500000,21.500000,91.56,false,POINT(22.5791122 40.4682071)
37N5,43.500000,18.500000,92.99,false,POINT(18.0432235 42.7020531)
44F1,61.500000,-2.000000,102.67,false,POINT(-1.5269669 60.5568301)
43L3,40.000000,11.000000,108.59,false,POINT(9.7322697 40.0839298)
37W8,37.500000,32.500000,114.15,false,POINT(32.0260523 36.5434431)
37W9,37.500000,33.500000,122.25,false,POINT(34.276215 36.5869815)
29Q6,61.750000,26.500000,122.67,false,POINT(26.6591903 60.6518008)
30Q6,62.250000,27.500000,179.97,false,POINT(27.2146102 60.584947)
31Q6,62.750000,28.500000,224.39,false,POINT(28.6904403 60.7384708)
