scientific_name,parameter,happy_bands,unhappy_bands
Merlangius merlangus,surfaceTemperature,"low,normal",very_high
Merlangius merlangus,oxygen,"normal,high","very_low,low"
Merlangius merlangus,chlorophyll,normal,very_high
Merlangius merlangus,phytoplankton,normal,very_high
Merlangius merlangus,salinity,"normal,high",very_low
Merlangius merlangus,nitrate,normal,very_high
Merlangius merlangus,phosphate,normal,very_high
Pollachius virens,surfaceTemperature,"low,normal",very_high
Pollachius virens,oxygen,"normal,high",very_low
Pollachius virens,chlorophyll,"low,normal",very_high
Pollachius virens,phytoplankton,"low,normal",very_high
Pollachius virens,salinity,"normal,high",very_low
Pollachius virens,nitrate,normal,very_high
Pollachius virens,phosphate,normal,very_high
Pollachius pollachius,surfaceTemperature,"low,normal",very_high
Pollachius pollachius,oxygen,"normal,high",very_low
Pollachius pollachius,chlorophyll,"low,normal",very_high
Pollachius pollachius,phytoplankton,"low,normal",very_high
Pollachius pollachius,salinity,"normal,high",very_low
Pollachius pollachius,nitrate,normal,very_high
Pollachius pollachius,phosphate,normal,very_high
Pleuronectes platessa,surfaceTemperature,"low,normal",very_high
Pleuronectes platessa,oxygen,"normal,high",very_low
Pleuronectes platessa,chlorophyll,"normal,high",very_high
Pleuronectes platessa,phytoplankton,"normal,high",very_high
Pleuronectes platessa,salinity,"normal,high",very_low
Pleuronectes platessa,nitrate,"normal,high",very_high
Pleuronectes platessa,phosphate,"normal,high",very_high
Limanda limanda,surfaceTemperature,"low,normal",very_high
Limanda limanda,oxygen,"normal,high",very_low
Limanda limanda,chlorophyll,"normal,high",very_high
Limanda limanda,phytoplankton,"normal,high",very_high
Limanda limanda,salinity,"normal,high",very_low
Limanda limanda,nitrate,"normal,high",very_high
Limanda limanda,phosphate,"normal,high",very_high
Platichthys flesus,salinity,"low,normal",very_high
Platichthys flesus,surfaceTemperature,"low,normal",very_high
Platichthys flesus,oxygen,"normal,high",very_low
Platichthys flesus,chlorophyll,"normal,high",very_high
Platichthys flesus,phytoplankton,"normal,high",very_high
Platichthys flesus,nitrate,"normal,high",very_high
Platichthys flesus,phosphate,"normal,high",very_high
Solea solea,surfaceTemperature,"normal,high","very_low,very_high"
Solea solea,oxygen,"normal,high",very_low
Solea solea,chlorophyll,"normal,high",very_high
Solea solea,phytoplankton,"normal,high",very_high
Solea solea,salinity,"normal,high",very_low
Solea solea,nitrate,"normal,high",very_high
Solea solea,phosphate,"normal,high",very_high
Scophthalmus maximus,surfaceTemperature,"normal,high","very_low,very_high"
Scophthalmus maximus,oxygen,"normal,high",very_low
Scophthalmus maximus,chlorophyll,"normal,high",very_high
Scophthalmus maximus,phytoplankton,"normal,high",very_high
Scophthalmus maximus,salinity,"normal,high",very_low
Scophthalmus maximus,nitrate,"normal,high",very_high
Scophthalmus maximus,phosphate,"normal,high",very_high
Raja clavata,surfaceTemperature,"normal,high","very_low,very_high"
Raja clavata,oxygen,"normal,high",very_low
Raja clavata,chlorophyll,"normal,high",very_high
Raja clavata,phytoplankton,"normal,high",very_high
Raja clavata,salinity,"normal,high",very_low
Raja clavata,nitrate,"normal,high",very_high
Raja clavata,phosphate,"normal,high",very_high
Chelidonichthys lucerna,surfaceTemperature,"normal,high","very_low,very_high"
Chelidonichthys lucerna,oxygen,"normal,high",very_low
Chelidonichthys lucerna,chlorophyll,"normal,high",very_high
Chelidonichthys lucerna,phytoplankton,"normal,high",very_high
Chelidonichthys lucerna,salinity,"normal,high",very_low
Chelidonichthys lucerna,nitrate,"normal,high",very_high
Chelidonichthys lucerna,phosphate,"normal,high",very_high
Zeus faber,surfaceTemperature,"normal,high","very_low,very_high"
Zeus faber,oxygen,"normal,high",very_low
Zeus faber,chlorophyll,normal,very_high
Zeus faber,phytoplankton,normal,very_high
Zeus faber,salinity,"normal,high",very_low
Zeus faber,nitrate,normal,very_high
Zeus faber,phosphate,normal,very_high
Pagrus pagrus,surfaceTemperature,high,"very_low,low,very_high"
Pagrus pagrus,oxygen,"normal,high","very_low,low"
Pagrus pagrus,chlorophyll,"low,normal",very_high
Pagrus pagrus,phytoplankton,"low,normal",very_high
Pagrus pagrus,salinity,"normal,high",very_low
Pagrus pagrus,nitrate,"low,normal",very_high
Pagrus pagrus,phosphate,"low,normal",very_high
Spondyliosoma cantharus,surfaceTemperature,"normal,high","very_low,very_high"
Spondyliosoma cantharus,oxygen,"normal,high","very_low,low"
Spondyliosoma cantharus,chlorophyll,"normal,high",very_high
Spondyliosoma cantharus,phytoplankton,"normal,high",very_high
Spondyliosoma cantharus,salinity,"normal,high",very_low
Spondyliosoma cantharus,nitrate,"normal,high",very_high
Spondyliosoma cantharus,phosphate,"normal,high",very_high
Salmo trutta,surfaceTemperature,"low,normal",very_high
Salmo trutta,oxygen,"high,very_high","very_low,low"
Salmo trutta,chlorophyll,"low,normal",very_high
Salmo trutta,phytoplankton,"low,normal",very_high
Salmo trutta,salinity,"low,normal",very_high
Salmo trutta,nitrate,"low,normal",very_high
Salmo trutta,phosphate,"low,normal",very_high
Scyliorhinus canicula,surfaceTemperature,"normal,high",very_high
Scyliorhinus canicula,oxygen,"normal,high",very_low
Scyliorhinus canicula,chlorophyll,normal,very_high
Scyliorhinus canicula,phytoplankton,normal,very_high
Scyliorhinus canicula,salinity,"normal,high",very_low
Scyliorhinus canicula,nitrate,normal,very_high
Scyliorhinus canicula,phosphate,normal,very_high
Sprattus sprattus,chlorophyll,"normal,high",very_low
Sprattus sprattus,phytoplankton,"normal,high",very_low
Sprattus sprattus,oxygen,"normal,high","very_low,low"
Sprattus sprattus,surfaceTemperature,"low,normal",very_high
Sprattus sprattus,salinity,"normal,high",very_low
Sprattus sprattus,nitrate,normal,very_high
Sprattus sprattus,phosphate,normal,very_high
Sardina pilchardus,chlorophyll,"high,very_high","very_low,low"
Sardina pilchardus,phytoplankton,"high,very_high","very_low,low"
Sardina pilchardus,oxygen,"normal,high","very_low,low"
Sardina pilchardus,surfaceTemperature,"normal,high","very_low,very_high"
Sardina pilchardus,salinity,"normal,high",very_low
Sardina pilchardus,nitrate,"normal,high",very_high
Sardina pilchardus,phosphate,"normal,high",very_high
