table_name,column_name,data_type,is_nullable,column_default
species_meta,conservation_status,text,YES,null
species_meta,fun_fact,text,YES,null
species_meta,updated_at,timestamp with time zone,NO,now()
species_meta_staging,scientific_name,text,NO,null
species_meta_staging,conservation_status,text,YES,null
species_meta_staging,fun_fact,text,YES,null
species_meta_staging_by_name,name_en,text,NO,null
species_meta_staging_by_name,conservation_status,text,YES,null
species_meta_staging_by_name,fun_fact,text,YES,null
species_meta_staging_raw,scientific_name,text,YES,null
species_meta_staging_raw,conservation_status,text,YES,null
species_meta_staging_raw,fun_fact,text,YES,null
species_name_alias,name_en_alias,text,NO,null
species_name_alias,scientific_name,text,NO,null
species_name_scientific_staging,name_en,text,YES,null
species_name_scientific_staging,scientific_name,text,YES,null
species_name_scientific_staging,conservation_status,text,YES,null
species_name_scientific_staging,fun_fact,text,YES,null
weather_predictions,id,uuid,NO,uuid_generate_v4()
weather_predictions,species_id,uuid,YES,null
weather_predictions,rectangle_id,uuid,YES,null
weather_predictions,prediction_date,date,NO,null
weather_predictions,sea_temp_c,numeric,YES,null
weather_predictions,air_temp_c,numeric,YES,null
weather_predictions,wind_speed_knots,integer,YES,null
weather_predictions,wind_direction,integer,YES,null
weather_predictions,pressure_hpa,integer,YES,null
weather_predictions,tide_phase,character varying,YES,null
weather_predictions,tide_height_m,numeric,YES,null
weather_predictions,adjusted_probability,numeric,YES,null
weather_predictions,weather_modifier,numeric,YES,1.0
weather_predictions,confidence,numeric,YES,0.5
weather_predictions,expires_at,timestamp with time zone,NO,null
weather_predictions,created_at,timestamp with time zone,YES,now()
