rectangle_code,lat,lon
26S2,51.5619571,-4.2951554
26T0,51.8741316,-5.3498022
26T9,52.1829982715593,-6.56657705407261
27C7,51.596503,-10.028798
27D7,40.7555606,-8.5726619
27D8,54.1456973,-9.1349992
27D9,54.0215865919115,-9.99959764160975
27F1,46.3241234,-1.1324764
27G0,50.0689151,-5.5455623
27G1,50.3277982067937,-4.51232690779682
27G2,50.2260196,-3.6456193
27G3,49.7186954,-2.2184952
27G4,49.7053295513976,-1.44033981638682
27H1,50.3456976803345,-4.43765551879252
27H3,50.5276553,-2.4595434
27H4,50.6432860967715,-1.43521955883565
27H5,50.8020694,-0.5
27H6,50.7951521,0.3422958
27I5,50.8020694,-0.5
27I6,50.8447271617129,0.52104896280039
27I7,50.8688012,1.580577
27I8,51.0724955400658,2.47864356908117
27J8,51.38288,1.4482528
27M2,56.5684268,8.1266382
27N5,58.7015648,17.4626571
27O2,59.1006534,11.3704533
27P1,59.3034936,4.8579208
27P5,55.48371,-1.5849503
27Q6,60.1559512,24.5540471
27R2,51.615546,-3.8326717
27R3,53.3280693369005,-3.44896502962734
27T9,51.9169376,-5.2889298
28D8,54.2918969,-9.0174861
28D9,54.3039411,-9.9977921
28F2,47.0119931135997,-2.01790755620599
28F4,47.9034691,-3.9882706
28M1,57.1063907,8.5862736
28N5,58.9269473,18.3164169
28O2,59.1968448,11.1764429
28P1,59.3106957,4.8570256
28P5,55.5985881421003,-1.66386584685671
28Q6,60.485419,25.9172469
28R3,54.2047387,-3.3285213
28T9,52.9574242,-5.9935197
29D8,54.6984317,-8.7955216
29D9,54.3287621,-9.8439835
29F3,47.7525902,-3.1391495
29N5,59.2398748840135,18.4954437036382
29P1,60.2855492,4.9358016
29Q4,54.44485013032,-3.54525911542441
29Q6,60.6518008,26.6591903
29T9,53.4887149,-5.9990942
30D5,55.6601423,-6.0582576
30D6,55.2688663,-7.0419002
30D7,55.2219099,-7.976796
30E8,49.3589542,-0.5469458
30E9,49.8144006751292,0.475001818427869
30N5,59.709296,19.4085393
30P1,60.786892,4.6855575
30Q4,54.9924991,-3.5010473
30Q6,60.584947,27.2146102
30U8,54.1006534,-4.5497941
30U9,54.2350528,-5.6399633
31C6,51.9118106,-7.9222306
31C7,52.1380195303378,-7.01968084400257
31E3,51.531643,-3.0156958
31E8,50.8020694,-0.5
31E9,49.8572452,0.5966903
31N5,60.2739525,20.4948023
31P1,61.2987328,4.6886499
31Q6,60.7384708,28.6904403
31U9,54.6527774,-4.9440812
32C6,52.2892113,-6.9973852
32E4,51.6778018,-4.0754288
32E5,52.5458438,-6.2090958
32F1,51.2303067568742,1.4111983536187
32N5,60.7311466,21.4699813
32P1,61.7911238,4.7929794
33D5,52.0274112,-5.0266007
33E1,55.9570457514876,-2.989342198549
33E2,54.831529,-4.0640356
33E3,54.9896657977418,-5.03115612443285
33E5,52.9778157533602,-6.0152920699539
33F2,51.169501,2.7156682
33P1,61.8416202,4.8032333
34D6,52.7335034981668,-3.99878181386801
34E1,56.4569309445396,-2.9965073199171
34E3,55.5093448,-5.0707902
34E5,53.494737,-6.0049536
34F4,56.496484539612,-6.00689436546803
34F6,56.5036482,-6.9898982
34P1,62.3696964,5.5236109
35E1,56.4601976515867,-2.95622479084231
35E5,54.043664264761,-6.01959660976155
35F4,57.0287802512444,-6.00309772128667
35F5,57.113837,-7.2158911
35F6,57.113837,-7.2158911
35G5,55.9965681,-4.9547013
35G6,56.9626326,-7.5562231
35P1,62.7888451,6.4749455
36E1,57.6696099152663,-3.02903685078125
36F4,57.5008724894158,-5.9991673933641
36F5,57.5383975,-7.1339005
36G6,57.592963,-7.5448299
36H0,39.5306550646987,8.43800377436629
36I0,39.8639591,8.5535588
36P1,63.4113223,7.7781682
37E1,57.6996117,-2.932688
37F5,58.0316989835326,-7.00603978649455
37F6,57.8502735524474,-5.80255906392189
37G6,57.8189151,-8.5522355
37H0,38.9664798546512,1.54011985613405
37H4,36.4649239515419,-4.98025609442746
37H5,36.7267928,-3.9609611
37I0,39.4859959651045,2.48104624393287
37I1,39.5919864,3.4060165
37I2,38.9133975,-0.0685929
37I3,38.9540876,1.2184351
37J0,40.4541503901853,8.38572939818465
37J2,41.2862342673123,2.08842895610577
37J3,41.7124644,2.9329909
37J7,36.2059594,0.3422958
37K5,41.9689802,8.5862736
37K7,44.4934663653916,14.4955389669762
37K8,45.0094262,14.0398869
37K9,45.4992602010734,13.5017530172706
37L0,37.5069034,13.0104273
37L6,43.6964379,15.9389755
37L7,44.3192601875948,15.4087170398584
37L8,44.9731310141815,14.9170044681383
37L9,45.3259890287465,14.4374792095003
37M0,37.9997266809109,12.5031704969554
37M1,38.0562198,13.5473739
37M2,38.0416512897878,14.4936988726711
37M5,43.1272647,17.3162541
37M6,43.4059512,16.8806258
37M7,43.5497501,16.4338485
37M8,44.271796,15.5286564
37N0,35.9475424464517,14.4634829250563
37N4,42.4828962,18.6873479
37N5,42.7020531,18.0432235
37N6,43.5497501,16.4338485
37O2,41.818793,19.5916447
37O3,42.1100935,19.0838322
37P1,63.8561466,8.4709579
37P2,41.6052921,19.6129663
37Q0,39.4584008,19.9894312
37Q1,40.4682071,22.5791122
37R0,39.1238467,20.5958765
37R1,40.1438663,22.5496525
37R2,40.0542667,22.5712997
37R3,40.0026168544758,23.9982886679348
37R4,40.1524926,24.3938094
37S2,39.5408566273005,23.0129346944348
37S3,39.2138126,23.4704696
37S4,37.4774563698687,24.9518980965266
37S5,37.4700382,25.4629012
37T4,35.8649356,23.3307398
37T5,35.585598,24.1829533
37T6,36.3363305,25.4466252
37U5,36.5695255,27.1297307
37U6,36.5597598,27.990896
37U8,35.0599270243866,32.4513196575243
37U9,34.9319522,33.6466577
37V6,36.6520043,29.1092229
37V7,36.8515408646213,30.6185427571856
37V8,36.7919376,31.3763127
37W8,36.5434431,32.0260523
37W9,36.5869815,34.276215
38E1,58.4774844,-3.05663
38F4,58.5440941,-5.0279842
38F5,58.4299991,-6.1699926
38H1,40.0582642212525,3.99542733814698
38J8,36.510891,1.1787216
38K5,42.6436558371872,8.97731187354993
38P1,64.1784936,9.3836369
38R4,40.6122094,24.7801213
38R5,40.4988771061289,25.5004999295935
38S4,37.9804548,24.4709579
38V5,38.4573428,26.4742945
38V6,38.4534366,27.1642359
38W5,38.9398664627864,26.9627744211105
39E1,59.0093424091683,-2.99544027041376
39F3,58.5951602,-4.0290421
39F4,58.6283227,-4.9881893
39K0,43.5224943,7.0323872
39K1,43.8489963701103,7.9380233161776
39P1,64.9672305,10.7347111
39W5,39.5396182,26.945079
39Y3,42.9669542102999,27.8990662202909
40F1,59.5289574,-1.6512752
40F2,59.3609073,-2.9651993
40F3,59.0979678,-3.3502091
40K0,38.8643253,8.6409611
40P1,65.6349958,11.7651473
40X5,41.4185751871699,28.473699906567
40X6,41.2091976156761,29.4483256760245
40X7,41.1686542595173,30.4398074016076
40X8,41.3630944451591,31.5401530407364
40Y3,43.4386254,28.5350041
41F1,60.1179874,-2.0629777
41F2,59.3609073,-2.9651993
41K1,39.1045596,9.5185653
41P1,66.1959954600092,12.5149374071792
41Y3,43.9973819,28.6717229
42L2,39.5668399,9.6530054
42P1,66.7815912758915,13.5094419132202
42Y3,44.8153641669978,29.4648718407726
43F1,60.5067813,-1.5951229
43L3,40.0839298,9.7322697
43P1,67.2499921279895,14.5000001982585
44F1,60.5568301,-1.5269669
