species_code,name_en,scientific_name,status,regions,temp_optimal_min,temp_optimal_max,temp_tolerance_min,temp_tolerance_max,salinity_optimal_min,salinity_optimal_max,salinity_tolerance_min,salinity_tolerance_max,depth_optimal_min,depth_optimal_max,depth_tolerance_min,depth_tolerance_max,habitat_preferred,spawning_months,feeding_peak_months,regional_gates,shore_suitable,boat_suitable,notes
ldb,"Megrim","Lepidorhombus whiffiagonis",has_regional_data,"North Atlantic; Celtic/North Sea",,,,,,,,,,,,,,,,,,,"Clean ground within casting reach in deeper beaches 10–30 m; offshore flats 30–120 m. | Wide flats 40–200 m; drift baits a metre off the bottom when dogfish are thick."
CMP,"Painted Comber","Serranus scriba",has_regional_data,"Mediterranean; Med reefs",,,,,,,,,,,,,,,,,,,"Harbours/rocky coves 2-15 m | 10-60 m"
par,"Parrotfish","Sparisoma cretense",has_regional_data,"Mediterranean (eastern and subtropical pockets)",,,,,,,,,,,,,,,,,,,"Shallow rocky coves and jetties 1–10 m—right where you can see them. | "
PIC,"Picarel","Spicara smaris",has_regional_data,"Mediterranean; Inshore shoals",,,,,,,,,,,,,,,,,,,"Mid-water shoals 3-20 m | 5-60 m mid-water"
GUR,"Red Gurnard","Chelidonichthys cuculus",has_regional_data,"Atlantic/Channel/Biscay; Banks/flats",,,,,,,,,,,,,,,,,,,"5-20 m from beaches/rocks | 15-100 m"
mul,"Red Mullet","Mullus surmuletus",has_regional_data,"Mediterranean; Bay of Biscay",,,,,,,,,,,,,,,,,,,"Sandy/muddy bays 5–50 m; often close in. (shore accessible range) | Sandy/muddy bays 5–50 m; often close in. (boat marks deeper/offshore)"
WRO,"Rock Cook","Centrolabrus exoletus",has_regional_data,"NE Atlantic coasts; Shallow reefs",,,,,,,,,,,,,,,,,,,"Rock pools to 6-10 m | 5-20 m"
pok,"Saithe (Pollachius virens)","Pollachius virens",has_regional_data,"North Sea; Norwegian waters; North Atlantic",,,,,,,,,,,,,,,,,,,"Kelp fringes and rock pins accessible from shore 5–20 m; harbour mouths and headlands. | Deep reefs and wrecks 20–120 m; vertical jigging or long casts down-tide."
sai,"Saithe/Pollock","Saithe/Pollock",has_regional_data,"North Sea; Norwegian waters",,,,,,,,,,,,,,,,,,,"Kelp fringes, reefs, wrecks 5–80 m. (shore accessible range) | Kelp fringes, reefs, wrecks 5–80 m. (boat marks deeper/offshore)"
SAL,"Salema (Saupe)","Sarpa salpa",has_regional_data,"Mediterranean; Macaronesia fringe; Nearshore weed/reef",,,,,,,,,,,,,,,,,,,"Shallow weed beds/reefs 1-10 m | 5-30 m"
san,"Sand Eel","Ammodytes tobianus",has_regional_data,"North Atlantic; North Sea",,,,,,,,,,,,,,,,,,,"Surf edges and shallow sandbars 0–10 m; harbour lights on calm nights. | Nearshore shoals and shallow banks 5–30 m; small-boat drifts find bigger launce."
bss,"Sea Bass","Dicentrarchus labrax",has_regional_data,"Atlantic; Mediterranean; North Sea",,,,,,,,,,,,,,,,,,,"Surf lines, estuaries, rocky headlands; 1–10 m; often within casting range. | Deeper reefs and wrecks 10–30 m offshore; drift fishing productive."
trs,"Sea Trout","Salmo trutta",has_regional_data,"Atlantic; North Sea; Baltic",,,,,,,,,,,,,,,,,,,"Very close to surf edges, drop‑offs, river mouths; 0–3 m. | Less targeted by boat; trolling near shorelines 3–10 m depth."
RME,"Small-eyed Ray","Raja microocellata",has_regional_data,"Wales/Channel/Atlantic surf beaches; Inshore banks",,,,,,,,,,,,,,,,,,,"Bars/holes 3-12 m | 10-50 m"
scy,"Small-spotted Catshark","Scyliorhinus canicula",has_regional_data,"Atlantic; North Sea",,,,,,,,,,,,,,,,,,,"Surf beaches, estuaries 5–20m | Sandy/mud seabeds 20–100m"
bsp,"Spotted Bass","Dicentrarchus punctatus",has_regional_data,"Mediterranean; Atlantic Iberia",,,,,,,,,,,,,,,,,,,"Small surf beaches, estuary mouths and rocky points 1–10 m. | Reefs and inshore banks 5–25 m; light-boat lure fishing shines."
RJM,"Spotted Ray","Raja montagui",has_regional_data,"W Europe sandy bays/sandbanks; Inshore banks/channels",,,,,,,,,,,,,,,,,,,"Surf bays 5-15 m | 10-60 m"
spr,"Sprat","Sprattus sprattus",has_regional_data,"Baltic; North Sea",,,,,,,,,,,,,,,,,,,"Surface shoals 0–30 m in bays/ports. (shore accessible range) | Surface shoals 0–30 m in bays/ports. (boat marks deeper/offshore)"
SSH,"Starry Smoothhound","Mustelus asterias",has_regional_data,"UK/IE/FR/ES Atlantic coasts; Banks/edges 10-60 m",,,,,,,,,,,,,,,,,,,"Clean/mixed ground 3-15 m | 10-60 m clean/mixed"
rjc,"Thornback Ray","Raja clavata",has_regional_data,"Atlantic; North Sea",,,,,,,,,,,,,,,,,,,"Sandy bays 5–20m | Deeper sands/channels 20–60m"
gug,"Tub Gurnard","Chelidonichthys lucerna",has_regional_data,"Atlantic; Mediterranean",,,,,,,,,,,,,,,,,,,"Shallows 5–15m | Boat drifts 20–60m over sand/mud"
RUN,"Undulate Ray","Raja undulata",has_regional_data,"Southern UK/Channel/Biscay; Sandy channels/banks",,,,,,,,,,,,,,,,,,,"Sandy bays 3-15 m | 10-60 m"
wra,"Wrasse (various)","Labridae spp.",has_regional_data,"Atlantic; North Sea; Mediterranean",,,,,,,,,,,,,,,,,,,"Rocky kelp ground 2–20 m; very close to shore. (shore accessible range) | Rocky kelp ground 2–20 m; very close to shore. (boat marks deeper/offshore)"
