text_key,text_en,text_es,text_fr,text_pt,text_de,text_it,text_nl,text_pl,text_tr,text_sv,context,page,category
index.label.03n_29,03n,,,,,,,,,,"Line 346: '01d','01n','02d','02n','03d','03n','04d','04n',",index,label
index.label.04d_30,04d,,,,,,,,,,"Line 346: '01d','01n','02d','02n','03d','03n','04d','04n',",index,label
index.label.04n_31,04n,,,,,,,,,,"Line 346: '01d','01n','02d','02n','03d','03n','04d','04n',",index,label
index.label.09d_32,09d,,,,,,,,,,"Line 347: '09d','09n','10d','10n','11d','11n','13d','13n','50d','50n'",index,label
index.label.09n_33,09n,,,,,,,,,,"Line 347: '09d','09n','10d','10n','11d','11n','13d','13n','50d','50n'",index,label
index.label.10d_34,10d,,,,,,,,,,"Line 347: '09d','09n','10d','10n','11d','11n','13d','13n','50d','50n'",index,label
index.label.10n_35,10n,,,,,,,,,,"Line 347: '09d','09n','10d','10n','11d','11n','13d','13n','50d','50n'",index,label
index.label.11d_36,11d,,,,,,,,,,"Line 347: '09d','09n','10d','10n','11d','11n','13d','13n','50d','50n'",index,label
index.label.11n_37,11n,,,,,,,,,,"Line 347: '09d','09n','10d','10n','11d','11n','13d','13n','50d','50n'",index,label
index.label.13d_38,13d,,,,,,,,,,"Line 347: '09d','09n','10d','10n','11d','11n','13d','13n','50d','50n'",index,label
index.label.13n_39,13n,,,,,,,,,,"Line 347: '09d','09n','10d','10n','11d','11n','13d','13n','50d','50n'",index,label
index.label.50d_40,50d,,,,,,,,,,"Line 347: '09d','09n','10d','10n','11d','11n','13d','13n','50d','50n'",index,label
index.label.50n_41,50n,,,,,,,,,,"Line 347: '09d','09n','10d','10n','11d','11n','13d','13n','50d','50n'",index,label
index.label._weather_icons_design_fill_fin_42,/weather-icons/design/fill/final/na.svg,,,,,,,,,,Line 352: return '/weather-icons/design/fill/final/na.svg'; // fallback icon,index,label
index.paragraph.loading__45,Loading...,,,,,,,,,,Line 642: return <div>Loading...</div>;,index,paragraph
index.paragraph.please_set_your_home_location__46,Please set your home location to see suggestions.,,,,,,,,,,Line 646: return <div>Please set your home location to see suggestions.</div>;,index,paragraph
index.label.3rem_47,3rem,,,,,,,,,,"Line 653: padding: '3rem',",index,label
index.label._fefbf2_48,#fefbf2,,,,,,,,,,"Line 654: background: '#fefbf2',",index,label
index.label.8px_49,8px,,,,,,,,,,"Line 655: borderRadius: '8px',",index,label
index.label.1px_solid_fed7aa_50,1px solid #fed7aa,,,,,,,,,,"Line 656: border: '1px solid #fed7aa',",index,label
index.label.2rem_51,2rem,,,,,,,,,,Line 657: margin: '2rem',index,label
index.label.1rem_53,1rem,,,,,,,,,,"Line 659: <div style={{ fontSize: '3rem', marginBottom: '1rem' }}>🎯</div>",index,label
index.heading.no_activities_selected_54,No Activities Selected,,,,,,,,,,"Line 660: <h2 style={{ color: '#d97706', marginBottom: '0.5rem' }}>No Activities Selected<",index,heading
index.heading._d97706_55,#d97706,,,,,,,,,,"Line 660: <h2 style={{ color: '#d97706', marginBottom: '0.5rem' }}>No Activities Selected<",index,heading
index.heading.0_5rem_56,0.5rem,,,,,,,,,,"Line 660: <h2 style={{ color: '#d97706', marginBottom: '0.5rem' }}>No Activities Selected<",index,heading
index.label._92400e_57,#92400e,,,,,,,,,,Line 661: <p style={{ color: '#92400e' }}>,index,label
index.label._interests_58,/interests,,,,,,,,,,"Line 665: href=""/interests""",index,label
index.label.inline_block_59,inline-block,,,,,,,,,,"Line 667: display: 'inline-block',",index,label
index.label.12px_24px_61,12px 24px,,,,,,,,,,"Line 669: padding: '12px 24px',",index,label
index.label.6px_63,6px,,,,,,,,,,"Line 673: borderRadius: '6px',",index,label
index.label.1_1rem_64,1.1rem,,,,,,,,,,Line 675: fontSize: '1.1rem',index,label
index.paragraph.loading_your_smart_recommendat_65,Loading your smart recommendations...,,,,,,,,,,Line 685: return <div>Loading your smart recommendations...</div>;,index,paragraph
index.label.pick_your_home_location_66,Pick your home location,,,,,,,,,,"Line 700: title=""Pick your home location""",index,label
index.label.alert_alert_warning_mx_4_my_2_67,alert alert-warning mx-4 my-2,,,,,,,,,,"Line 735: <div className=""alert alert-warning mx-4 my-2"">",index,label
index.label.main_grid_68,main-grid,,,,,,,,,,"Line 739: <div className=""main-grid"">",index,label
index.label.stargazing_69,stargazing,,,,,,,,,,Line 745: const hasStargazing = interests.includes('stargazing');,index,label
index.label.astronomy_card_70,astronomy-card,,,,,,,,,,"Line 787: key=""astronomy-card""",index,label
index.label.activity_card_enhanced_71,activity-card-enhanced,,,,,,,,,,"Line 795: className=""activity-card-enhanced""",index,label
index.label.activity_card_overlay_72,activity-card-overlay,,,,,,,,,,"Line 803: <div className=""activity-card-overlay"" />",index,label
index.label.activity_card_content_73,activity-card-content,,,,,,,,,,"Line 804: <div className=""activity-card-content"">",index,label
index.label.weather_icon_topright_74,weather-icon-topright,,,,,,,,,,"Line 805: <div className=""weather-icon-topright"">",index,label
index.label.weather_icon_77,weather icon,,,,,,,,,,Line 809: alt={day.description || 'weather icon'},index,label
index.label.forecast_header_78,forecast-header,,,,,,,,,,"Line 819: <div className=""forecast-header"">",index,label
index.label.date_info_79,date-info,,,,,,,,,,"Line 820: <div className=""date-info"">",index,label
index.heading.date_label_80,date-label,,,,,,,,,,"Line 821: <h3 className=""date-label"">{dayLabel}</h3>",index,heading
index.label.temperature_info_81,temperature-info,,,,,,,,,,"Line 824: <div className=""temperature-info"">",index,label
index.label.temperature_label_82,temperature-label,,,,,,,,,,"Line 826: <span className=""temperature-label"">",index,label
index.label.card_hero_activity_83,card__hero-activity,,,,,,,,,,"Line 867: className=""card__hero-activity""",index,label
index.label.card_hero_icon_84,card__hero-icon,,,,,,,,,,"Line 878: <div className=""card__hero-icon"">",index,label
index.label.50__85,50%,,,,,,,,,,"Line 885: style={{ borderRadius: '50%', cursor: 'pointer' }}",index,label
index.label.card_hero_title_86,card__hero-title,,,,,,,,,,"Line 891: <div className=""card__hero-title"">",index,label
index.label._activity_name_activityid_repl_87,"}`}>{activity?.name || activityId.replace(/_/g,",,,,,,,,,,Line 892: <div className={`card__hero-name ${isOutdoorActivity ? 'outdoor' : ''}`}>{activi,index,label
index.label.card_hero_message_88,card__hero-message,,,,,,,,,,"Line 893: <div className=""card__hero-message"">{activityMessage}</div>",index,label
index.label.card_score_badge_89,card__score-badge,,,,,,,,,,"Line 896: className=""card__score-badge""",index,label
index.label.activity_suggestions_90,activity-suggestions,,,,,,,,,,"Line 914: <div className=""activity-suggestions"">",index,label
index.label.activity_section_91,activity-section,,,,,,,,,,"Line 917: <div className=""activity-section"">",index,label
index.heading.also_good_title_92,also-good-title,,,,,,,,,,"Line 918: <h4 className=""also-good-title"">💯 Also Perfect Today</h4>",index,heading
index.label.also_good_list_93,also-good-list,,,,,,,,,,"Line 919: <ul className=""also-good-list"">",index,label
index.label.also_good_item_94,also-good-item,,,,,,,,,,"Line 929: className=""also-good-item""",index,label
index.label.also_good_score_95,also-good-score,,,,,,,,,,"Line 949: <span className=""also-good-score"">",index,label
index.label.activity_list_good_98,activity-list-good,,,,,,,,,,"Line 971: <ul className=""activity-list-good"">",index,label
index.label.activity_item_good_99,activity-item-good,,,,,,,,,,"Line 981: className=""activity-item-good""",index,label
index.label.also_good_section_101,also-good-section,,,,,,,,,,"Line 1025: <div className=""also-good-section"">",index,label
index.label.activity_card_actions_106,activity-card-actions,,,,,,,,,,"Line 1057: <div className=""activity-card-actions"">",index,label
index.button.activity_card_btn_108,activity-card-btn,,,,,,,,,,"Line 1060: className=""activity-card-btn""",index,button
index.label._activities_109,/activities,,,,,,,,,,"Line 1065: href=""/activities""",index,label
support.label.https_apps_apple_com_app_id675_111,https://apps.apple.com/app/id6755695873,,,,,,,,,,"Line 16: const fallback = ""https://apps.apple.com/app/id6755695873"";",support,label
support.label.support_go_daisy_112,Support Go Daisy,,,,,,,,,,Line 28: <title>Support Go Daisy</title>,support,label
support.label.description_113,description,,,,,,,,,,"Line 30: name=""description""",support,label
support.paragraph.join_the_go_daisy_community_on_114,"Join the Go Daisy community on Patreon or tip via Apple. Help cover weather data, hosting, and keep Damian — and Bruno — in biscuits.",,,,,,,,,,"Line 31: content=""Join the Go Daisy community on Patreon or tip via Apple. Help cover wea",support,paragraph
support.label.og_title_115,og:title,,,,,,,,,,"Line 33: <meta property=""og:title"" content=""Support Go Daisy"" />",support,label
support.label.og_description_117,og:description,,,,,,,,,,"Line 35: property=""og:description""",support,label
support.label.og_image_119,og:image,,,,,,,,,,"Line 38: <meta property=""og:image"" content=""/doggy.jpg"" />",support,label
support.label._doggy_jpg_120,/doggy.jpg,,,,,,,,,,"Line 38: <meta property=""og:image"" content=""/doggy.jpg"" />",support,label
support.label.og_type_121,og:type,,,,,,,,,,"Line 39: <meta property=""og:type"" content=""website"" />",support,label
support.label.twitter_card_122,twitter:card,,,,,,,,,,"Line 40: <meta name=""twitter:card"" content=""summary_large_image"" />",support,label
support.label.summary_large_image_123,summary_large_image,,,,,,,,,,"Line 40: <meta name=""twitter:card"" content=""summary_large_image"" />",support,label
support.label.twitter_title_124,twitter:title,,,,,,,,,,"Line 41: <meta name=""twitter:title"" content=""Support Go Daisy"" />",support,label
support.label.twitter_description_126,twitter:description,,,,,,,,,,"Line 43: name=""twitter:description""",support,label
support.label.twitter_image_128,twitter:image,,,,,,,,,,"Line 46: <meta name=""twitter:image"" content=""/doggy.jpg"" />",support,label
support.label.min_h_screen_bg_base_100_text__130,min-h-screen bg-base-100 text-base-content,,,,,,,,,,"Line 50: <div data-theme=""light"" className=""min-h-screen bg-base-100 text-base-content"">",support,label
support.label.container_mx_auto_max_w_3xl_px_131,container mx-auto max-w-3xl px-4 py-10 space-y-10,,,,,,,,,,"Line 53: <main className=""container mx-auto max-w-3xl px-4 py-10 space-y-10"">",support,label
support.label.card_bg_base_200_shadow_sm_132,card bg-base-200 shadow-sm,,,,,,,,,,"Line 55: <div className=""card bg-base-200 shadow-sm"">",support,label
support.label.card_body_space_y_4_133,card-body space-y-4,,,,,,,,,,"Line 56: <div className=""card-body space-y-4"">",support,label
support.heading.keep_go_daisy_blooming_134,Keep Go Daisy Blooming,,,,,,,,,,"Line 57: <h2 className=""card-title text-3xl text-base-content"">Keep Go Daisy Blooming</h2",support,heading
support.heading.card_title_text_3xl_text_base__135,card-title text-3xl text-base-content,,,,,,,,,,"Line 57: <h2 className=""card-title text-3xl text-base-content"">Keep Go Daisy Blooming</h2",support,heading
support.label.leading_relaxed_text_base_cont_136,leading-relaxed text-base-content,,,,,,,,,,"Line 58: <p className=""leading-relaxed text-base-content"">",support,label
support.paragraph.flex_flex_wrap_gap_2_text_xs_o_137,flex flex-wrap gap-2 text-xs opacity-80 text-base-content,,,,,,,,,,"Line 64: <div className=""flex flex-wrap gap-2 text-xs opacity-80 text-base-content"">",support,paragraph
support.label.community_first_138,Community-first,,,,,,,,,,"Line 65: <span className=""badge badge-outline"">Community-first</span>",support,label
support.label.badge_badge_outline_139,badge badge-outline,,,,,,,,,,"Line 65: <span className=""badge badge-outline"">Community-first</span>",support,label
support.label.no_paywalls_140,No paywalls,,,,,,,,,,"Line 66: <span className=""badge badge-outline"">No paywalls</span>",support,label
support.label.grid_gap_6_sm_grid_cols_2_143,grid gap-6 sm:grid-cols-2,,,,,,,,,,"Line 73: <div className=""grid gap-6 sm:grid-cols-2"">",support,label
support.label.card_bg_base_200_144,card bg-base-200,,,,,,,,,,"Line 75: <div className=""card bg-base-200"">",support,label
support.label.card_body_space_y_3_145,card-body space-y-3,,,,,,,,,,"Line 76: <div className=""card-body space-y-3"">",support,label
support.heading.join_us_on_patreon_146,Join us on Patreon,,,,,,,,,,"Line 77: <h2 className=""card-title text-lg text-base-content"">Join us on Patreon</h2>",support,heading
support.heading.card_title_text_lg_text_base_c_147,card-title text-lg text-base-content,,,,,,,,,,"Line 77: <h2 className=""card-title text-lg text-base-content"">Join us on Patreon</h2>",support,heading
support.label.text_base_content_148,text-base-content,,,,,,,,,,"Line 78: <p className=""text-base-content"">",support,label
support.button.btn_btn_primary_149,btn btn-primary,,,,,,,,,,"Line 83: className=""btn btn-primary""",support,button
support.label.https_patreon_com_godaisy_150,https://patreon.com/GoDaisy,,,,,,,,,,"Line 84: href=""https://patreon.com/GoDaisy""",support,label
support.label.noopener_noreferrer_151,noopener noreferrer,,,,,,,,,,"Line 86: rel=""noopener noreferrer""",support,label
support.heading.apple_tip_jar_154,Apple Tip Jar,,,,,,,,,,"Line 96: <h2 className=""card-title text-lg text-base-content"">Apple Tip Jar</h2>",support,heading
support.label._coffee_157,☕ Coffee,,,,,,,,,,"Line 101: {[{label:""☕ Coffee"", amount:2}, {label:""🍺 Pint"", amount:5}, {label:""🌼 Daisy Bo",support,label
support.label._pint_158,🍺 Pint,,,,,,,,,,"Line 101: {[{label:""☕ Coffee"", amount:2}, {label:""🍺 Pint"", amount:5}, {label:""🌼 Daisy Bo",support,label
support.label._daisy_boost_159,🌼 Daisy Boost,,,,,,,,,,"Line 101: {[{label:""☕ Coffee"", amount:2}, {label:""🍺 Pint"", amount:5}, {label:""🌼 Daisy Bo",support,label
support.button.btn_btn_outline_160,btn btn-outline,,,,,,,,,,"Line 104: className=""btn btn-outline""",support,button
support.label.ml_2_font_semibold_161,ml-2 font-semibold,,,,,,,,,,"Line 108: <span className=""ml-2 font-semibold"">€{t.amount}</span>",support,label
support.label.card_body_163,card-body,,,,,,,,,,"Line 117: <div className=""card-body"">",support,label
support.heading.transparency_164,Transparency,,,,,,,,,,"Line 118: <h2 className=""card-title text-lg text-base-content"">Transparency</h2>",support,heading
support.other.list_disc_pl_5_space_y_2_text__166,list-disc pl-5 space-y-2 text-sm text-base-content,,,,,,,,,,"Line 119: <ul className=""list-disc pl-5 space-y-2 text-sm text-base-content"">",support,other
support.paragraph.no_features_are_gated_behind_s_167,No features are gated behind support. Everyone gets the same forecast.,,,,,,,,,,Line 121: <li>No features are gated behind support. Everyone gets the same forecast.</li>,support,paragraph
support.label.space_y_3_168,space-y-3,,,,,,,,,,"Line 128: <div className=""space-y-3"">",support,label
support.heading.frequently_asked_questions_169,Frequently asked questions,,,,,,,,,,"Line 129: <h2 className=""text-lg font-semibold text-base-content"">Frequently asked questio",support,heading
support.heading.text_lg_font_semibold_text_bas_170,text-lg font-semibold text-base-content,,,,,,,,,,"Line 129: <h2 className=""text-lg font-semibold text-base-content"">Frequently asked questio",support,heading
support.label.collapse_collapse_arrow_bg_bas_171,collapse collapse-arrow bg-base-200,,,,,,,,,,"Line 131: <div className=""collapse collapse-arrow bg-base-200"">",support,label
support.paragraph.does_support_unlock_features__172,Does support unlock features?,,,,,,,,,,"Line 133: <div className=""collapse-title text-base font-medium text-base-content"">Does sup",support,paragraph
support.paragraph.collapse_title_text_base_font__173,collapse-title text-base font-medium text-base-content,,,,,,,,,,"Line 133: <div className=""collapse-title text-base font-medium text-base-content"">Does sup",support,paragraph
support.label.collapse_content_174,collapse-content,,,,,,,,,,"Line 134: <div className=""collapse-content"">",support,label
support.paragraph.afraid_not_support_keeps_the_l_175,"Afraid not. Support keeps the lights on and the data flowing, but features roll out to everyone.",,,,,,,,,,"Line 135: <p className=""text-base-content"">Afraid not. Support keeps the lights on and the",support,paragraph
support.paragraph.can_i_cancel_any_time__178,Can I cancel any time?,,,,,,,,,,"Line 141: <div className=""collapse-title text-base font-medium text-base-content"">Can I ca",support,paragraph
support.paragraph.other_ways_to_help__183,Other ways to help?,,,,,,,,,,"Line 149: <div className=""collapse-title text-base font-medium text-base-content"">Other wa",support,paragraph
support.paragraph.tell_a_friend_start_a_plan_or__186,"Tell a friend, start a plan, or share your favourite Go Daisy moment. Word of mouth is golden.",,,,,,,,,,"Line 151: <p className=""text-base-content"">Tell a friend, start a plan, or share your favo",support,paragraph
whether-weather.label.whether_weather_go_daisy_188,Whether Weather - Go Daisy,,,,,,,,,,Line 21: <title>Whether Weather - Go Daisy</title>,whether-weather,label
whether-weather.label.min_h_screen_bg_base_200_189,min-h-screen bg-base-200,,,,,,,,,,"Line 25: <main className=""min-h-screen bg-base-200"">",whether-weather,label
whether-weather.label.hero_bg_base_100_70_190,hero bg-base-100/70,,,,,,,,,,"Line 27: <section className=""hero bg-base-100/70"">",whether-weather,label
whether-weather.label.hero_content_text_center_max_w_191,hero-content text-center max-w-5xl,,,,,,,,,,"Line 28: <div className=""hero-content text-center max-w-5xl"">",whether-weather,label
whether-weather.label.w_full_192,w-full,,,,,,,,,,"Line 33: className=""w-full""",whether-weather,label
whether-weather.heading.text_3xl_sm_text_5xl_font_extr_193,text-3xl sm:text-5xl font-extrabold leading-tight text-base-content,,,,,,,,,,"Line 36: <h1 className=""text-3xl sm:text-5xl font-extrabold leading-tight text-base-conte",whether-weather,heading
whether-weather.paragraph.mx_auto_max_w_6xl_px_4_sm_px_6_194,mx-auto max-w-6xl px-4 sm:px-6 lg:px-8 py-8 lg:py-12,,,,,,,,,,"Line 47: <section className=""mx-auto max-w-6xl px-4 sm:px-6 lg:px-8 py-8 lg:py-12"">",whether-weather,paragraph
whether-weather.label.grid_grid_cols_1_lg_grid_cols__195,grid grid-cols-1 lg:grid-cols-12 gap-6 lg:gap-10,,,,,,,,,,"Line 48: <div className=""grid grid-cols-1 lg:grid-cols-12 gap-6 lg:gap-10"">",whether-weather,label
whether-weather.label.lg_col_span_3_order_last_lg_or_196,lg:col-span-3 order-last lg:order-first,,,,,,,,,,"Line 50: <aside className=""lg:col-span-3 order-last lg:order-first"">",whether-weather,label
whether-weather.label.card_bg_base_100_shadow_sm_sti_197,card bg-base-100 shadow-sm sticky top-4,,,,,,,,,,"Line 51: <nav className=""card bg-base-100 shadow-sm sticky top-4"">",whether-weather,label
whether-weather.heading.on_this_page_199,On this page,,,,,,,,,,"Line 53: <h2 className=""card-title text-base text-base-content"">On this page</h2>",whether-weather,heading
whether-weather.heading.card_title_text_base_text_base_200,card-title text-base text-base-content,,,,,,,,,,"Line 53: <h2 className=""card-title text-base text-base-content"">On this page</h2>",whether-weather,heading
whether-weather.label.menu_menu_sm_text_base_content_201,menu menu-sm text-base-content,,,,,,,,,,"Line 54: <ul className=""menu menu-sm text-base-content"">",whether-weather,label
whether-weather.link.a_familiar_frustration_202,A familiar frustration,,,,,,,,,,"Line 55: <li><a href=""#opening"" className=""text-base-content"">A familiar frustration</a><",whether-weather,link
whether-weather.link._opening_203,#opening,,,,,,,,,,"Line 55: <li><a href=""#opening"" className=""text-base-content"">A familiar frustration</a><",whether-weather,link
whether-weather.link._coverage_205,#coverage,,,,,,,,,,"Line 56: <li><a href=""#coverage"" className=""text-base-content"">Sparse sensors & microclim",whether-weather,link
whether-weather.link._instruments_207,#instruments,,,,,,,,,,"Line 57: <li><a href=""#instruments"" className=""text-base-content"">Instrument quirks & dat",whether-weather,link
whether-weather.link._models_209,#models,,,,,,,,,,"Line 58: <li><a href=""#models"" className=""text-base-content"">Models & resolution limits</",whether-weather,link
whether-weather.link.politics_in_the_weather_211,Politics in the weather,,,,,,,,,,"Line 59: <li><a href=""#politics"" className=""text-base-content"">Politics in the weather</a",whether-weather,link
whether-weather.link._politics_212,#politics,,,,,,,,,,"Line 59: <li><a href=""#politics"" className=""text-base-content"">Politics in the weather</a",whether-weather,link
whether-weather.link.coping_smartly_214,Coping smartly,,,,,,,,,,"Line 60: <li><a href=""#cope"" className=""text-base-content"">Coping smartly</a></li>",whether-weather,link
whether-weather.link._cope_215,#cope,,,,,,,,,,"Line 60: <li><a href=""#cope"" className=""text-base-content"">Coping smartly</a></li>",whether-weather,link
whether-weather.link._wrap_217,#wrap,,,,,,,,,,"Line 61: <li><a href=""#wrap"" className=""text-base-content"">In short…</a></li>",whether-weather,link
whether-weather.label.divider_my_2_219,divider my-2,,,,,,,,,,"Line 64: <div className=""divider my-2""></div>",whether-weather,label
whether-weather.label.text_sm_text_base_content_70_220,text-sm text-base-content/70,,,,,,,,,,"Line 65: <div className=""text-sm text-base-content/70"">",whether-weather,label
whether-weather.label.mb_2_221,mb-2,,,,,,,,,,"Line 66: <p className=""mb-2"">Quick tip:</p>",whether-weather,label
whether-weather.paragraph.always_keep_a_compact_brolly_i_222,Always keep a compact brolly in your bag.,,,,,,,,,,"Line 67: <p className=""flex items-start gap-2""><Umbrella className=""w-4 h-4 mt-0.5""/> Alw",whether-weather,paragraph
whether-weather.label.flex_items_start_gap_2_223,flex items-start gap-2,,,,,,,,,,"Line 67: <p className=""flex items-start gap-2""><Umbrella className=""w-4 h-4 mt-0.5""/> Alw",whether-weather,label
whether-weather.label.w_4_h_4_mt_0_5_224,w-4 h-4 mt-0.5,,,,,,,,,,"Line 67: <p className=""flex items-start gap-2""><Umbrella className=""w-4 h-4 mt-0.5""/> Alw",whether-weather,label
whether-weather.paragraph.check_two_sources_when_it_look_225,Check two sources when it looks marginal.,,,,,,,,,,"Line 68: <p className=""flex items-start gap-2 mt-1""><Wind className=""w-4 h-4 mt-0.5""/> Ch",whether-weather,paragraph
whether-weather.label.flex_items_start_gap_2_mt_1_226,flex items-start gap-2 mt-1,,,,,,,,,,"Line 68: <p className=""flex items-start gap-2 mt-1""><Wind className=""w-4 h-4 mt-0.5""/> Ch",whether-weather,label
whether-weather.label.lg_col_span_9_228,lg:col-span-9,,,,,,,,,,"Line 75: <article className=""lg:col-span-9"">",whether-weather,label
whether-weather.label.card_bg_base_100_shadow_229,card bg-base-100 shadow,,,,,,,,,,"Line 76: <div className=""card bg-base-100 shadow"">",whether-weather,label
whether-weather.paragraph.prose_prose_sm_sm_prose_lg_pro_231,prose prose-sm sm:prose lg:prose-lg max-w-none text-base-content,,,,,,,,,,"Line 78: <div className=""prose prose-sm sm:prose lg:prose-lg max-w-none text-base-content",whether-weather,paragraph
whether-weather.heading.mt_8_232,mt-8,,,,,,,,,,"Line 89: <h2 className=""mt-8"">Sensors aren’t everywhere (and microclimates are sneaky)</h",whether-weather,heading
whether-weather.label.instruments_233,instruments,,,,,,,,,,"Line 102: <section id=""instruments"">",whether-weather,label
whether-weather.heading.a_dash_of_politics_236,A dash of politics,,,,,,,,,,"Line 124: <h2 className=""mt-8"">A dash of politics</h2>",whether-weather,heading
whether-weather.label.alert_alert_warning_text_base__238,alert alert-warning text-base-content,,,,,,,,,,"Line 125: <div className=""alert alert-warning text-base-content"">",whether-weather,label
whether-weather.label.w_5_h_5_239,w-5 h-5,,,,,,,,,,"Line 126: <Cloud className=""w-5 h-5"" />",whether-weather,label
whether-weather.label.mt_2_240,mt-2,,,,,,,,,,"Line 133: <p className=""mt-2"">",whether-weather,label
whether-weather.heading.how_to_keep_calm_and_weather_o_241,How to keep calm and weather on,,,,,,,,,,"Line 140: <h2 className=""mt-8"">How to keep calm and weather on</h2>",whether-weather,heading
whether-weather.label.grid_sm_grid_cols_2_gap_4_mt_4_243,grid sm:grid-cols-2 gap-4 mt-4,,,,,,,,,,"Line 156: <div className=""grid sm:grid-cols-2 gap-4 mt-4"">",whether-weather,label
whether-weather.heading.quick_practice_246,Quick practice,,,,,,,,,,"Line 159: <h3 className=""card-title text-base text-base-content""><Zap className=""w-4 h-4""/",whether-weather,heading
whether-weather.heading.w_4_h_4_248,w-4 h-4,,,,,,,,,,"Line 159: <h3 className=""card-title text-base text-base-content""><Zap className=""w-4 h-4""/",whether-weather,heading
whether-weather.heading.local_cues_252,Local cues,,,,,,,,,,"Line 165: <h3 className=""card-title text-base text-base-content""><Wind className=""w-4 h-4""",whether-weather,heading
whether-weather.label.container_mx_auto_p_4_257,container mx-auto p-4,,,,,,,,,,"Line 197: <div className=""container mx-auto p-4"">",whether-weather,label
aboutus.label.about_us_go_daisy_258,About Us - Go Daisy,,,,,,,,,,Line 10: <title>About Us - Go Daisy</title>,AboutUs,label
aboutus.paragraph.min_h_screen_bg_base_100_text__259,min-h-screen bg-base-100 text-base-content p-6 md:p-12,,,,,,,,,,"Line 14: <main className=""min-h-screen bg-base-100 text-base-content p-6 md:p-12"">",AboutUs,paragraph
aboutus.paragraph.max_w_4xl_mx_auto_bg_base_200__260,max-w-4xl mx-auto bg-base-200 p-8 rounded-lg shadow-lg,,,,,,,,,,"Line 15: <div className=""max-w-4xl mx-auto bg-base-200 p-8 rounded-lg shadow-lg"">",AboutUs,paragraph
aboutus.heading.about_us_261,About Us,,,,,,,,,,"Line 16: <h1 className=""text-4xl font-bold mb-6"">About Us</h1>",AboutUs,heading
aboutus.heading.text_4xl_font_bold_mb_6_262,text-4xl font-bold mb-6,,,,,,,,,,"Line 16: <h1 className=""text-4xl font-bold mb-6"">About Us</h1>",AboutUs,heading
aboutus.label.mb_8_flex_flex_col_items_cente_263,mb-8 flex flex-col items-center,,,,,,,,,,"Line 18: <div className=""mb-8 flex flex-col items-center"">",AboutUs,label
aboutus.label._bruno_jpeg_264,/bruno.jpeg,,,,,,,,,,"Line 20: src=""/bruno.jpeg""",AboutUs,label
