Sphyraena viridensis;;;
Sphyrna lewini;;;
Spicara smaris;;;
Spondyliosoma cantharus;"IUCN: LC (global). Sensitive to spring spawning aggregations; seasonal protections exist.";;
Sprattus sprattus;IUCN: LC (global). Managed in Baltic/North Sea.;;
Symphodus melops;LC;;
Thunnus alalunga;;;
Thunnus albacares;;;
Thunnus obesus;;;
Trachinotus carolinus;;;
Trachinotus falcatus;;;
Trachinus draco;LC;;
Trachurus mediterraneus;;;
Trachurus trachurus;IUCN: LC (global). Some regional quotas/size limits.;;
Xiphias gladius;;;
Zeus faber;"IUCN: LC (global). Often taken as bycatch; local MLS may apply.";;
