English Name,Scientific Name,Species Code,Regions,German Name
"Common Ling","Molva molva","LIN","Mediterranean; NE_Atlantic","Leng"
"Common Octopus","Octopus vulgaris","OCT","Mediterranean; NE_Atlantic","Gemeiner Krake"
"Common Pandora","Pagellus erythrinus","PANDORA","Mediterranean",""
"Common Snook","Centropomus undecimalis","cda012","Caribbean; Gulf_of_Mexico; NE_Pacific; NW_Atlantic",""
"Common Squid","Loligo vulgaris","SQC","Mediterranean; NE_Atlantic","Gewöhnlicher Pfeilkalmar"
"Common Thresher","Alopias vulpinus","61158a","NE_Pacific; NW_Atlantic","Fuchshai"
"Conger Eel","Conger conger","CON","Mediterranean; NE_Atlantic","Meeraal"
"Cubera Snapper","Lutjanus cyanopterus","18e76c","Caribbean; Gulf_of_Mexico; NW_Atlantic",""
"Cuckoo Wrasse","Labrus mixtus","WRC","Mediterranean; NE_Atlantic","Kuckuckslippfisch"
"Dab","Limanda limanda","DAB","Mediterranean; NE_Atlantic","Kliesche"
"Dentex","Dentex dentex","DEX","Mediterranean; NE_Atlantic","Zahnbrasse"
"Dover Sole","Solea solea","SOL","Mediterranean; NE_Atlantic","Seezunge"
"Dungeness Crab","Metacarcinus magister","c1aec4","NE_Pacific",""
"Dusky Grouper","Epinephelus marginatus","DUSK-GROUP","Mediterranean","Zackenbarsch"
"European Barracuda","Sphyraena sphyraena","EURO-CUDA","Mediterranean","Mittelmeer-Barrakuda"
"Florida Pompano","Trachinotus carolinus","dd85dd","Gulf_of_Mexico; NW_Atlantic",""
"Flounder","Platichthys flesus","FLE","Mediterranean; NE_Atlantic","Flunder"
"Gag Grouper","Mycteroperca microlepis","04bc28","Gulf_of_Mexico; NW_Atlantic",""
"Garfish (Needlefish)","Belone belone","GAR","Mediterranean; NE_Atlantic","Hornhecht"
"Giant Trevally (Ulua)","Caranx ignobilis","d2ba30","Hawaii; NE_Pacific",""
"Golden Tilefish","Lopholatilus chamaeleonticeps","GTF","Gulf_of_Mexico; NW_Atlantic; US_Atlantic",""
"Goliath Grouper","Epinephelus itajara","d1a073","Caribbean; Gulf_of_Mexico; US_Atlantic",""
"Greater Amberjack","Seriola dumerili","GAJ","Gulf_of_Mexico; NE_Pacific; NW_Atlantic","Bernsteinmakrele"
"Greater Weever","Trachinus draco","WEE","Mediterranean; NE_Atlantic","Petermännchen"
"Grey Mullet","Mugil cephalus","FGM","Mediterranean; NE_Atlantic","Große Meeräsche"
"Gulf Grouper","Mycteroperca jordani","a980bd","NE_Pacific",""
"Haddock","Melanogrammus aeglefinus","HAD","NW_Atlantic","Schellfisch"
"Hogfish","Lachnolaimus maximus","d31d58","Caribbean; Gulf_of_Mexico; US_Atlantic",""
"Horse Mackerel","Trachurus trachurus","HOM","Mediterranean; NE_Atlantic","Pferdemakrele"
"Jack Crevalle","Caranx hippos","dafb44","Caribbean; Gulf_of_Mexico; US_Atlantic",""
"John Dory","Zeus faber","JOD","Mediterranean; NE_Atlantic","Petersfisch"
"Kelp Greenling","Hexagrammos decagrammus","8f5ec6","Gulf_of_Alaska; NE_Pacific",""
"King Mackerel","Scomberomorus cavalla","92f10a","Gulf_of_Mexico; NE_Pacific; NW_Atlantic",""
"Leerfish","Lichia amia","LEERFISH","Mediterranean","Leerfisch"
"Leopard Grouper (Cabrilla)","Mycteroperca rosacea","99d717","NE_Pacific; Sea_of_Cortez",""
"Lingcod","Ophiodon elongatus","d3be4a","Gulf_of_Alaska; NE_Pacific",""
"Little Tunny","Euthynnus alletteratus","LTA","Caribbean; Gulf_of_Mexico; NW_Atlantic",""
"Longfin Inshore Squid","Doryteuthis pealeii","2071b4","NW_Atlantic",""
"Mackerel","Scomber scombrus","MAC","NW_Atlantic",""
"Mangrove Snapper","Lutjanus griseus","17799e","Caribbean; Gulf_of_Mexico; US_Atlantic",""
"Manybar Goatfish","Parupeneus multifasciatus","6093f7","Hawaii",""
"Market Squid","Doryteuthis opalescens","0f173d","NE_Pacific",""
"Meagre","Argyrosomus regius","MEAGRE","Mediterranean","Umberfisch"
"Mediterranean Scad","Trachurus mediterraneus","MED-SCAD","Mediterranean; NE_Atlantic","Mittelmeer-Pferdemakrele"
"Megrim","Lepidorhombus whiffiagonis","LDB","Mediterranean; NE_Atlantic",""
"Mutton Snapper","Lutjanus analis","e0e710","Caribbean; NE_Pacific; NW_Atlantic",""
"Nassau Grouper","Epinephelus striatus","779f9b","Caribbean; Gulf_of_Mexico; US_Atlantic",""
"Pacific Bonito","Sarda chiliensis","5726f7","NE_Pacific",""
"Pacific Dog Snapper","Lutjanus novemfasciatus","720f4b","NE_Pacific",""
"Pacific Dover Sole","Microstomus pacificus","DOV","NE_Pacific",""
"Pacific Herring","Clupea pallasii","HEP","Gulf_of_Alaska; NE_Pacific",""
"Pacific Sanddab","Citharichthys sordidus","b4f26d","NE_Pacific",""
"Pacific Sierra Mackerel","Scomberomorus sierra","28a108","NE_Pacific",""
"Pacific White Seabass (Corvina)","Atractoscion nobilis","7f6482","NE_Pacific",""
"Parrotfish","Sparisoma cretense","PAR","Mediterranean",""
"Permit","Trachinotus falcatus","3f8f97","Caribbean; Gulf_of_Mexico; NE_Pacific; NW_Atlantic",""
"Petrale Sole","Eopsetta jordani","PTR","NE_Pacific",""
"Picarel","Spicara smaris","PIC","Mediterranean; NE_Atlantic",""
"Pink Salmon","Oncorhynchus gorbuscha","PNK","Gulf_of_Alaska; NE_Pacific",""
"Plaice","Pleuronectes platessa","PLE","NE_Atlantic","Scholle"
"Pollack","Pollachius pollachius","POL","NE_Atlantic","Pollack"
"Queen Snapper","Etelis oculatus","QSN","Caribbean; Gulf_of_Mexico; US_Atlantic",""
"Red Drum (Redfish)","Sciaenops ocellatus","2a5836","Gulf_of_Mexico; NE_Pacific; NW_Atlantic",""
"Red Grouper","Epinephelus morio","c413e5","Gulf_of_Mexico; NW_Atlantic",""
"Red Mullet","Mullus surmuletus","MUL","Mediterranean; NE_Atlantic","Rotbarbe"
"Red Porgy","Pagrus pagrus","RED-PORGY","Mediterranean",""
"Red Scorpionfish","Scorpaena scrofa","RED-SCORP","Mediterranean; NE_Atlantic","Roter Drachenkopf"
"Red Seabream","Pagellus bogaraveo","SBR","NE_Atlantic","Rotbrasse"
"Redtail Surfperch","Amphistichus rhodoterus","5bec07","NE_Pacific",""
"Saddled Seabream","Oblada melanura","SADD-BREAM","Mediterranean","Ringelbrasse"
"Sailfish","Istiophorus platypterus","SAI","Caribbean; Gulf_of_Mexico; Hawaii; NE_Pacific; NW_Atlantic",""
"Sand Eel","Ammodytes tobianus","SAN","Mediterranean; NE_Atlantic","Sandaal"
"Sardine","Sardina pilchardus","PIL","Mediterranean; NE_Atlantic","Sardine"
"Scalloped Hammerhead","Sphyrna lewini","3dd951","Gulf_of_Mexico; Hawaii; NE_Pacific",""
"Scamp Grouper","Mycteroperca phenax","b39b90","Gulf_of_Mexico; NW_Atlantic",""
"Sea Bass","Dicentrarchus labrax","BSS","Mediterranean; NE_Atlantic","Wolfsbarsch"
"Sea Bream (Dorada)","Sparus aurata","SBA","Mediterranean; NE_Atlantic","Goldbrasse (Dorade)"
"Sea Trout","Salmo trutta","TRS","Mediterranean; NE_Atlantic","Meerforelle"
"Sheepshead","Archosargus probatocephalus","0a52d4","Gulf_of_Mexico; NW_Atlantic",""
"Shortfin Mako","Isurus oxyrinchus","SMA","NE_Pacific; NW_Atlantic",""
"Silver Hake (Atlantic Whiting)","Merluccius bilinearis","e306b9","NW_Atlantic",""
"Skipjack Tuna","Katsuwonus pelamis","SKJ","Caribbean; Gulf_of_Mexico; Hawaii; NE_Pacific; NW_Atlantic",""
"Small-spotted Catshark","Scyliorhinus canicula","SCY","Mediterranean; NE_Atlantic","Kleingefleckter Katzenhai"
"Snowy Grouper","Hyporthodus niveatus","SNG","Caribbean; Gulf_of_Mexico; US_Atlantic",""
"Sockeye Salmon","Oncorhynchus nerka","SOK","Gulf_of_Alaska; NE_Pacific",""
"Spanish Mackerel","Scomberomorus maculatus","469e2c","Gulf_of_Mexico; NW_Atlantic",""
"Spotted Bass","Dicentrarchus punctatus","BSP","Mediterranean; NE_Atlantic",""
"Spotted Seatrout (Speckled Trout)","Cynoscion nebulosus","bdf304","Gulf_of_Mexico; NW_Atlantic",""
"Sprat","Sprattus sprattus","SPR","Mediterranean; NE_Atlantic","Sprotte"
"Steelhead (Sea-run Rainbow Trout)","Oncorhynchus mykiss","904d43","Gulf_of_Alaska; NE_Pacific",""
"Stone Crab","Menippe mercenaria","c99402","Gulf_of_Mexico; NW_Atlantic",""
"Striped Marlin","Kajikia audax","MLS","Hawaii; NE_Pacific",""
"Summer Flounder (Fluke)","Paralichthys dentatus","FLK","NW_Atlantic",""
"Thicklip Grey Mullet","Chelon labrosus","MUG","Mediterranean; NE_Atlantic","Dicklippige Meeräsche"
"Thornback Ray","Raja clavata","RJC","NE_Atlantic","Dornrochen"
"Tiger Shark","Galeocerdo cuvier","a3c183","Gulf_of_Mexico; Hawaii; NE_Pacific",""
"Tripletail","Lobotes surinamensis","c4557a","Gulf_of_Mexico; NW_Atlantic",""
"Tub Gurnard","Chelidonichthys lucerna","GUG","Mediterranean; NE_Atlantic","Roter Knurrhahn"
"Turbot (Small)","Scophthalmus maximus","TUR","Mediterranean; NE_Atlantic","Steinbutt"
"Two-banded Seabream","Diplodus vulgaris","2BD-BREAM","Mediterranean","Zweibindenbrasse"
"Uku (Green Jobfish)","Aprion virescens","b5a9c2","Hawaii; NE_Pacific",""
"Vermilion Snapper","Rhomboplites aurorubens","36dcaa","Gulf_of_Mexico; NW_Atlantic",""
"Wahoo","Acanthocybium solandri","WAH","Caribbean; Gulf_of_Mexico; Hawaii; NE_Pacific; NW_Atlantic",""
"Warsaw Grouper","Hyporthodus nigritus","WSG","Caribbean; Gulf_of_Mexico; US_Atlantic",""
"Wenchman","Pristipomoides aquilonaris","WEN","Caribbean; Gulf_of_Mexico; US_Atlantic",""
"White Grouper","Epinephelus aeneus","WHIT-GROUP","Mediterranean","Weißer Zackenbarsch"
"White Marlin","Kajikia albida","f5fc63","Caribbean; Gulf_of_Mexico; NW_Atlantic; US_Atlantic",""
"White Seabream","Diplodus sargus","WHT-BREAM","Mediterranean; NE_Atlantic","Geißbrasse"
"Whiting","Merlangius merlangus","WHG","NE_Atlantic","Wittling"
"Winter Flounder","Pseudopleuronectes americanus","e4725f","NW_Atlantic",""
"Wrasse (various)","Labridae spp.","WRA","Mediterranean; NE_Atlantic","Lippfische"
"Wreckfish","Polyprion americanus","WRK2","NW_Atlantic; US_Atlantic","Wrackbarsch"
"Yellowedge Grouper","Hyporthodus flavolimbatus","YEG","Caribbean; Gulf_of_Mexico; US_Atlantic",""
"Yellowmouth Barracuda","Sphyraena viridensis","YEL-CUDA","Mediterranean","Gelbmaul-Barrakuda"
"Yellowtail Snapper","Ocyurus chrysurus","91f278","Caribbean; Gulf_of_Mexico; NW_Atlantic",""
