English Name,Scientific Name,Species Code,Regions,French,Spanish,German,Italian,Portuguese
"Chum Salmon","Oncorhynchus keta","CHM","Gulf_of_Alaska; NE_Pacific","Saumon kéta","Salmón keta","","","",""
"Cobia","Rachycentron canadum","COB","Gulf_of_Mexico; NE_Pacific; NW_Atlantic","Cobia","Cobia","","","",""
"Coho Salmon","Oncorhynchus kisutch","CHO","Gulf_of_Alaska; NE_Pacific","Saumon coho","Salmón coho","","","",""
"Common Cuttlefish","Sepia officinalis","CUT","Mediterranean; NE_Atlantic","Seiche commune","Sepia común","","","",""
"Common Ling","Molva molva","LIN","Mediterranean; NE_Atlantic","Lingue","Maruca","","","",""
"Common Octopus","Octopus vulgaris","OCT","Mediterranean; NE_Atlantic","Poulpe commun","Pulpo común","","","",""
"Common Snook","Centropomus undecimalis","cda012","Caribbean; Gulf_of_Mexico; NE_Pacific; NW_Atlantic","Snook","Róbalo","","","",""
"Common Squid","Loligo vulgaris","SQC","Mediterranean; NE_Atlantic","Calmar commun","Calamar común","","","",""
"Common Thresher","Alopias vulpinus","61158a","NE_Pacific; NW_Atlantic","Requin renard","Tiburón zorro","","","",""
"Conger Eel","Conger conger","CON","Mediterranean; NE_Atlantic","Congre","Congrio","","","",""
"Cubera Snapper","Lutjanus cyanopterus","18e76c","Caribbean; Gulf_of_Mexico; NW_Atlantic","Vivaneau cubera","Pargo cubera","","","",""
"Cuckoo Wrasse","Labrus mixtus","WRC","Mediterranean; NE_Atlantic","Vieille coquette","Doncella","","","",""
"Dab","Limanda limanda","DAB","Mediterranean; NE_Atlantic","Limande","Limanda","","","",""
"Dentex","Dentex dentex","DEX","Mediterranean; NE_Atlantic","Denté","Dentón","","","",""
"Dover Sole","Solea solea","SOL","Mediterranean; NE_Atlantic","Sole commune","Lenguado común","","","",""
"Dungeness Crab","Metacarcinus magister","c1aec4","NE_Pacific","Crabe dormeur","Cangrejo de Dungeness","","","",""
"Florida Pompano","Trachinotus carolinus","dd85dd","Gulf_of_Mexico; NW_Atlantic","Carangue pompano","Pámpano de Florida","","","",""
"Flounder","Platichthys flesus","FLE","Mediterranean; NE_Atlantic","Flet","Platija","","","",""
"Gag Grouper","Mycteroperca microlepis","04bc28","Gulf_of_Mexico; NW_Atlantic","Mérou gag","Mero gag","","","",""
"Garfish (Needlefish)","Belone belone","GAR","Mediterranean; NE_Atlantic","Orphie","Aguja","","","",""
"Giant Trevally (Ulua)","Caranx ignobilis","d2ba30","Hawaii; NE_Pacific","Carangue géante","Jurel gigante","","","",""
"Golden Tilefish","Lopholatilus chamaeleonticeps","GTF","Gulf_of_Mexico; NW_Atlantic; US_Atlantic","Tile doré","Blanquillo dorado","","","",""
"Goliath Grouper","Epinephelus itajara","d1a073","Caribbean; Gulf_of_Mexico; US_Atlantic","Mérou géant","Mero Goliat","","","",""
"Greater Amberjack","Seriola dumerili","GAJ","Gulf_of_Mexico; NE_Pacific; NW_Atlantic","Sériole","Pez limón","","","",""
"Greater Weever","Trachinus draco","WEE","Mediterranean; NE_Atlantic","Vive","Pez araña (común)","","","",""
"Gulf Grouper","Mycteroperca jordani","a980bd","NE_Pacific","Mérou du Golfe","Mero del Golfo","","","",""
"Hogfish","Lachnolaimus maximus","d31d58","Caribbean; Gulf_of_Mexico; US_Atlantic","Labre hogfish","Pez puerco","","","",""
"Horse Mackerel","Trachurus trachurus","HOM","Mediterranean; NE_Atlantic","Chinchard","Jurel","","","",""
"Jack Crevalle","Caranx hippos","dafb44","Caribbean; Gulf_of_Mexico; US_Atlantic","Carangue crevalle","Jurel crevalle","","","",""
"John Dory","Zeus faber","JOD","Mediterranean; NE_Atlantic","Saint-Pierre","San Pedro","","","",""
"Kelp Greenling","Hexagrammos decagrammus","8f5ec6","Gulf_of_Alaska; NE_Pacific","Greenling varech","","","","",""
"King Mackerel","Scomberomorus cavalla","92f10a","Gulf_of_Mexico; NE_Pacific; NW_Atlantic","Thazard du roi","Sierra real","","","",""
"Leopard Grouper (Cabrilla)","Mycteroperca rosacea","99d717","NE_Pacific; Sea_of_Cortez","Mérou léopard","Mero leopardo","","","",""
"Lingcod","Ophiodon elongatus","d3be4a","Gulf_of_Alaska; NE_Pacific","Lingcod","","","","",""
"Little Tunny","Euthynnus alletteratus","LTA","Caribbean; Gulf_of_Mexico; NW_Atlantic","Pélamide","Bacoreta","","","",""
"Longfin Inshore Squid","Doryteuthis pealeii","2071b4","NW_Atlantic","Calmar côtier longipes","Calamar costero de aleta larga","","","",""
"Mackerel","Scomber scombrus","MAC","NW_Atlantic","Maquereau","Caballa","","","",""
"Mangrove Snapper","Lutjanus griseus","17799e","Caribbean; Gulf_of_Mexico; US_Atlantic","Vivaneau gris","Pargo de manglar","","","",""
"Manybar Goatfish","Parupeneus multifasciatus","6093f7","Hawaii","Rouget à bandes","Salmonete rayado","","","",""
"Market Squid","Doryteuthis opalescens","0f173d","NE_Pacific","Calmar du marché","Calamar opalescente","","","",""
"Megrim","Lepidorhombus whiffiagonis","LDB","Mediterranean; NE_Atlantic","Cardine","Gallo","","","",""
"Mutton Snapper","Lutjanus analis","e0e710","Caribbean; NE_Pacific; NW_Atlantic","Vivaneau mutton","Pargo criollo","","","",""
"Nassau Grouper","Epinephelus striatus","779f9b","Caribbean; Gulf_of_Mexico; US_Atlantic","Mérou Nassau","Mero Nassau","","","",""
"Pacific Bonito","Sarda chiliensis","5726f7","NE_Pacific","Bonite du Pacifique","Bonito del Pacífico","","","",""
"Pacific Dog Snapper","Lutjanus novemfasciatus","720f4b","NE_Pacific","Vivaneau chien","Pargo perro del Pacífico","","","",""
"Pacific Dover Sole","Microstomus pacificus","DOV","NE_Pacific","Sole du Pacifique","Lenguado del Pacífico","","","",""
"Pacific Herring","Clupea pallasii","HEP","Gulf_of_Alaska; NE_Pacific","Hareng du Pacifique","Arenque del Pacífico","","","",""
"Pacific Sanddab","Citharichthys sordidus","b4f26d","NE_Pacific","Sanddab","Lenguadina del Pacífico","","","",""
"Pacific Sierra Mackerel","Scomberomorus sierra","28a108","NE_Pacific","Thazard sierra","Sierra del Pacífico","","","",""
"Pacific White Seabass (Corvina)","Atractoscion nobilis","7f6482","NE_Pacific","Corvina blanche du Pacifique","Corvina blanca del Pacífico","","","",""
"Parrotfish","Sparisoma cretense","PAR","Mediterranean","Perroquet","Pez loro","","","",""
"Permit","Trachinotus falcatus","3f8f97","Caribbean; Gulf_of_Mexico; NE_Pacific; NW_Atlantic","Permit","Palometa (permit)","","","",""
"Petrale Sole","Eopsetta jordani","PTR","NE_Pacific","Sole petrale","Lenguado petrale","","","",""
"Pink Salmon","Oncorhynchus gorbuscha","PNK","Gulf_of_Alaska; NE_Pacific","Saumon rose","Salmón rosado","","","",""
"Plaice","Pleuronectes platessa","PLE","NE_Atlantic","Plie","Solla","","","",""
"Pollack","Pollachius pollachius","POL","NE_Atlantic","Lieu jaune","Abadejo","","","",""
"Queen Snapper","Etelis oculatus","QSN","Caribbean; Gulf_of_Mexico; US_Atlantic","Vivaneau reine","Pargo reina","","","",""
"Red Drum (Redfish)","Sciaenops ocellatus","2a5836","Gulf_of_Mexico; NE_Pacific; NW_Atlantic","Red drum","Corvina roja (red drum)","","","",""
"Red Grouper","Epinephelus morio","c413e5","Gulf_of_Mexico; NW_Atlantic","Mérou rouge","Mero rojo","","","",""
"Red Mullet","Mullus surmuletus","MUL","Mediterranean; NE_Atlantic","Rouget grondin","Salmonete de roca","","","",""
"Red Seabream","Pagellus bogaraveo","SBR","NE_Atlantic","Pagre commun","Besugo","","","",""
"Redtail Surfperch","Amphistichus rhodoterus","5bec07","NE_Pacific","Surfperche à queue rouge","Mojarra cola roja","","","",""
"Sailfish","Istiophorus platypterus","SAI","Caribbean; Gulf_of_Mexico; Hawaii; NE_Pacific; NW_Atlantic","Voilier","Pez vela","","","",""
"Sand Eel","Ammodytes tobianus","SAN","Mediterranean; NE_Atlantic","Lancon","Lanzón","","","",""
"Sardine","Sardina pilchardus","PIL","Mediterranean; NE_Atlantic","Sardine","Sardina","","","",""
"Scalloped Hammerhead","Sphyrna lewini","3dd951","Gulf_of_Mexico; Hawaii; NE_Pacific","Requin marteau halicorne","Cornuda común","","","",""
"Scamp Grouper","Mycteroperca phenax","b39b90","Gulf_of_Mexico; NW_Atlantic","Mérou scamp","Mero scamp","","","",""
"Sea Bass","Dicentrarchus labrax","BSS","Mediterranean; NE_Atlantic","Bar européen","Lubina","","","",""
"Sea Bream (Dorada)","Sparus aurata","SBA","Mediterranean; NE_Atlantic","Dorade royale","Dorada","","","",""
"Sea Trout","Salmo trutta","TRS","Mediterranean; NE_Atlantic","Truite de mer","Trucha marina","","","",""
"Sheepshead","Archosargus probatocephalus","0a52d4","Gulf_of_Mexico; NW_Atlantic","Sheepshead","Sargo chopa","","","",""
"Shortfin Mako","Isurus oxyrinchus","SMA","NE_Pacific; NW_Atlantic","Requin mako","Marrajo dientuso","","","",""
"Silver Hake (Atlantic Whiting)","Merluccius bilinearis","e306b9","NW_Atlantic","Merlu argenté","Merluza plateada","","","",""
"Skipjack Tuna","Katsuwonus pelamis","SKJ","Caribbean; Gulf_of_Mexico; Hawaii; NE_Pacific; NW_Atlantic","Bonite skipjack","Listao","","","",""
"Small-spotted Catshark","Scyliorhinus canicula","SCY","Mediterranean; NE_Atlantic","Petite roussette","Pintarroja","","","",""
"Snowy Grouper","Hyporthodus niveatus","SNG","Caribbean; Gulf_of_Mexico; US_Atlantic","Mérou snowy","Mero nevado","","","",""
"Sockeye Salmon","Oncorhynchus nerka","SOK","Gulf_of_Alaska; NE_Pacific","Saumon rouge","Salmón rojo (sockeye)","","","",""
"Spanish Mackerel","Scomberomorus maculatus","469e2c","Gulf_of_Mexico; NW_Atlantic","Thazard espagnol","Sierra española","","","",""
"Spotted Bass","Dicentrarchus punctatus","BSP","Mediterranean; NE_Atlantic","Bar ponctué","Lubina pintada","","","",""
"Spotted Seatrout (Speckled Trout)","Cynoscion nebulosus","bdf304","Gulf_of_Mexico; NW_Atlantic","Truite tachetée","Trucha moteada","","","",""
"Sprat","Sprattus sprattus","SPR","Mediterranean; NE_Atlantic","Sprat","Espadín","","","",""
"Steelhead (Sea-run Rainbow Trout)","Oncorhynchus mykiss","904d43","Gulf_of_Alaska; NE_Pacific","Truite arc-en-ciel migratrice","Trucha arcoíris (steelhead)","","","",""
"Stone Crab","Menippe mercenaria","c99402","Gulf_of_Mexico; NW_Atlantic","Crabe de roche","Cangrejo de piedra","","","",""
"Striped Marlin","Kajikia audax","MLS","Hawaii; NE_Pacific","Marlin rayé","Marlín rayado","","","",""
"Summer Flounder (Fluke)","Paralichthys dentatus","FLK","NW_Atlantic","Flet estival","Platija de verano","","","",""
"Thornback Ray","Raja clavata","RJC","NE_Atlantic","Raie bouclée","Raya de clavos","","","",""
"Tiger Shark","Galeocerdo cuvier","a3c183","Gulf_of_Mexico; Hawaii; NE_Pacific","Requin tigre","Tiburón tigre","","","",""
"Tripletail","Lobotes surinamensis","c4557a","Gulf_of_Mexico; NW_Atlantic","Poisson triple-queue","Pez tres colas","","","",""
"Tub Gurnard","Chelidonichthys lucerna","GUG","Mediterranean; NE_Atlantic","Grondin perlon","Rubio","","","",""
"Turbot (Small)","Scophthalmus maximus","TUR","Mediterranean; NE_Atlantic","Turbot","Rodaballo","","","",""
"Uku (Green Jobfish)","Aprion virescens","b5a9c2","Hawaii; NE_Pacific","Poisson-uku","Jobfish verde (uku)","","","",""
"Vermilion Snapper","Rhomboplites aurorubens","36dcaa","Gulf_of_Mexico; NW_Atlantic","Vivaneau vermillon","Pargo bermellón","","","",""
"Wahoo","Acanthocybium solandri","WAH","Caribbean; Gulf_of_Mexico; Hawaii; NE_Pacific; NW_Atlantic","Thazard wahoo","Peto","","","",""
"Warsaw Grouper","Hyporthodus nigritus","WSG","Caribbean; Gulf_of_Mexico; US_Atlantic","Mérou Warsaw","Mero Warsaw","","","",""
"Wenchman","Pristipomoides aquilonaris","WEN","Caribbean; Gulf_of_Mexico; US_Atlantic","Vivaneau wenchman","","","","",""
"White Marlin","Kajikia albida","f5fc63","Caribbean; Gulf_of_Mexico; NW_Atlantic; US_Atlantic","Marlin blanc","Marlín blanco","","","",""
"Whiting","Merlangius merlangus","WHG","NE_Atlantic","Merlan","Bacaladilla","","","",""
"Winter Flounder","Pseudopleuronectes americanus","e4725f","NW_Atlantic","Flet d'hiver","Platija de invierno","","","",""
"Wrasse (various)","Labridae spp.","WRA","Mediterranean; NE_Atlantic","Labres","Lábridos","","","",""
"Wreckfish","Polyprion americanus","WRK2","NW_Atlantic; US_Atlantic","Cernier","Cherna","","","",""
"Yellowedge Grouper","Hyporthodus flavolimbatus","YEG","Caribbean; Gulf_of_Mexico; US_Atlantic","Mérou yellowedge","Mero de borde amarillo","","","",""
"Yellowtail Snapper","Ocyurus chrysurus","91f278","Caribbean; Gulf_of_Mexico; NW_Atlantic","Vivaneau queue-jaune","Rabirrubia","","","",""
